j g(j) i g(i) wl A A+A^a A/(A+A^a) f
56 6.000 1 4.000 11.8283 2.697E+13 2.698E+13 9.995E-01 8.485E-01
55 4.000 1 4.000 11.8409 2.453E+13 2.869E+13 8.550E-01 5.158E-01
49 6.000 1 4.000 11.9660 1.009E+13 1.010E+13 9.989E-01 3.248E-01
40 6.000 1 4.000 12.1161 7.398E+12 7.409E+12 9.986E-01 2.443E-01
52 2.000 1 4.000 11.8814 1.883E+13 2.212E+13 8.513E-01 1.993E-01
140 6.000 1 4.000 9.55963 6.535E+12 7.602E+12 8.596E-01 1.343E-01
57 4.000 1 4.000 11.7849 6.398E+12 2.424E+13 2.639E-01 1.332E-01
39 4.000 1 4.000 12.1369 5.443E+12 5.924E+12 9.187E-01 1.202E-01
153 6.000 1 4.000 9.46035 5.728E+12 6.805E+12 8.418E-01 1.153E-01
162 6.000 1 4.000 9.38358 4.408E+12 5.487E+12 8.035E-01 8.730E-02
160 4.000 1 4.000 9.38768 5.933E+12 8.394E+12 7.068E-01 7.840E-02
139 4.000 1 4.000 9.56302 5.525E+12 6.955E+12 7.944E-01 7.575E-02
207 6.000 1 4.000 8.71635 4.098E+12 4.893E+12 8.375E-01 7.003E-02
70 6.000 1 4.000 11.2094 2.368E+12 2.448E+12 9.673E-01 6.693E-02
58 2.000 1 4.000 11.7715 6.155E+12 3.607E+13 1.706E-01 6.395E-02
72 4.000 1 4.000 11.1649 3.195E+12 3.692E+12 8.653E-01 5.970E-02
53 6.000 1 4.000 11.8770 1.838E+12 1.849E+12 9.945E-01 5.835E-02
5 4.000 1 4.000 13.2701 2.147E+12 2.183E+12 9.836E-01 5.668E-02
73 2.000 1 4.000 11.1447 5.625E+12 5.832E+12 9.645E-01 5.238E-02
37 2.000 1 4.000 12.1648 4.659E+12 4.670E+12 9.975E-01 5.168E-02
74 6.000 1 4.000 11.1279 1.790E+12 1.883E+12 9.504E-01 4.985E-02
9 6.000 1 4.000 12.9387 1.244E+12 1.244E+12 1.000E+00 4.683E-02
159 2.000 1 4.000 9.39003 6.890E+12 8.706E+12 7.914E-01 4.555E-02
292 6.000 1 4.000 8.31946 2.822E+12 3.387E+12 8.332E-01 4.390E-02
42 4.000 1 4.000 12.0750 1.920E+12 2.035E+12 9.432E-01 4.195E-02
239 6.000 1 4.000 8.62902 2.355E+12 3.154E+12 7.466E-01 3.945E-02
69 4.000 1 4.000 11.2283 1.924E+12 2.008E+12 9.581E-01 3.638E-02
206 4.000 1 4.000 8.71717 3.175E+12 4.092E+12 7.760E-01 3.615E-02
67 6.000 1 4.000 11.2718 1.168E+12 1.242E+12 9.410E-01 3.338E-02
90 6.000 1 4.000 10.7499 1.219E+12 1.460E+12 8.351E-01 3.168E-02
345 6.000 1 4.000 8.09776 2.015E+12 2.470E+12 8.157E-01 2.970E-02
255 4.000 1 4.000 8.56655 2.578E+12 4.110E+12 6.272E-01 2.835E-02
60 6.000 1 4.000 11.6244 8.980E+11 9.079E+11 9.891E-01 2.730E-02
257 6.000 1 4.000 8.56451 1.568E+12 2.374E+12 6.604E-01 2.585E-02
165 4.000 1 4.000 9.37263 1.904E+12 1.007E+13 1.890E-01 2.508E-02
181 6.000 1 4.000 8.79923 1.405E+12 2.014E+12 6.973E-01 2.446E-02
147 6.000 1 4.000 9.50100 1.185E+12 2.301E+12 5.152E-01 2.406E-02
291 4.000 1 4.000 8.32005 2.262E+12 2.957E+12 7.651E-01 2.348E-02
47 6.000 1 4.000 12.0002 6.997E+11 7.095E+11 9.862E-01 2.266E-02
7 4.000 1 4.000 13.0945 8.800E+11 9.460E+11 9.302E-01 2.263E-02
178 6.000 1 4.000 8.81573 1.241E+12 1.925E+12 6.444E-01 2.168E-02
46 4.000 1 4.000 12.0313 9.858E+11 1.836E+12 5.369E-01 2.139E-02
43 6.000 1 4.000 12.0697 6.387E+11 6.484E+11 9.851E-01 2.092E-02
309 6.000 1 4.000 8.23754 1.312E+12 1.866E+12 7.033E-01 2.002E-02
253 2.000 1 4.000 8.56750 3.432E+12 4.774E+12 7.187E-01 1.888E-02
180 4.000 1 4.000 8.80241 1.576E+12 2.225E+12 7.084E-01 1.831E-02
8 2.000 1 4.000 13.0483 1.379E+12 2.968E+12 4.645E-01 1.760E-02
194 6.000 1 4.000 8.74321 1.022E+12 1.707E+12 5.984E-01 1.756E-02
138 2.000 1 4.000 9.57379 2.512E+12 3.798E+12 6.613E-01 1.726E-02
344 4.000 1 4.000 8.09810 1.610E+12 2.131E+12 7.556E-01 1.583E-02
151 4.000 1 4.000 9.47244 1.044E+12 2.524E+12 4.136E-01 1.404E-02
75 4.000 1 4.000 11.1223 7.545E+11 1.808E+12 4.174E-01 1.399E-02
191 4.000 1 4.000 8.75507 1.165E+12 2.086E+12 5.586E-01 1.339E-02
228 6.000 1 4.000 8.65791 7.633E+11 1.562E+12 4.886E-01 1.287E-02
323 4.000 1 4.000 8.17927 1.229E+12 2.146E+12 5.725E-01 1.232E-02
92 4.000 1 4.000 10.7267 6.983E+11 2.162E+12 3.229E-01 1.205E-02
124 6.000 1 4.000 9.63131 5.723E+11 1.187E+12 4.823E-01 1.194E-02
366 4.000 1 4.000 8.03318 1.215E+12 1.782E+12 6.817E-01 1.175E-02
325 6.000 1 4.000 8.17838 7.802E+11 1.330E+12 5.864E-01 1.174E-02
183 2.000 1 4.000 8.78808 2.016E+12 2.781E+12 7.250E-01 1.167E-02
111 4.000 1 4.000 9.82625 7.780E+11 1.419E+12 5.482E-01 1.126E-02
80 2.000 1 4.000 11.0257 1.224E+12 6.258E+12 1.956E-01 1.115E-02
