j gj i gi wl A A+Aa bla f
322 0 0 1 17.2924 1.913E+12 4.016E+14 0 2.574E-01
355 0 0 1 17.2356 1.167E+12 2.549E+14 0 1.559E-01
442 0 0 1 16.9896 5.390E+11 2.858E+14 0 6.996E-02
325 0 0 1 17.2847 4.683E+11 2.261E+14 0 6.294E-02
383 0 0 1 17.1887 4.283E+11 3.693E+14 0 5.691E-02
380 0 0 1 17.1956 3.803E+11 3.285E+14 0 5.059E-02
370 0 0 1 17.2070 3.790E+11 3.121E+14 0 5.045E-02
391 0 0 1 17.1693 3.620E+11 3.962E+14 0 4.801E-02
473 0 0 1 16.9095 3.103E+11 3.374E+14 0 3.990E-02
300 0 0 1 17.3910 2.471E+11 1.669E+14 0 3.362E-02
413 0 0 1 17.1055 1.787E+11 3.930E+14 0 2.351E-02
483 0 0 1 16.8770 1.697E+11 3.552E+14 0 2.174E-02
451 0 0 1 16.9657 1.577E+11 2.974E+14 0 2.042E-02
485 0 0 1 16.8705 1.561E+11 3.388E+14 0 1.999E-02
401 0 0 1 17.1327 9.233E+10 3.677E+14 0 1.219E-02
437 0 0 1 17.0055 7.233E+10 2.306E+14 0 9.410E-03
412 0 0 1 17.1108 3.733E+10 3.305E+14 0 4.918E-03
349 0 0 1 17.2464 2.676E+10 2.557E+14 0 3.580E-03
426 0 0 1 17.0509 2.364E+10 3.935E+14 0 3.092E-03
416 0 0 1 17.0954 2.172E+10 2.880E+14 0 2.855E-03
317 0 0 1 17.3018 1.859E+10 1.809E+14 0 2.504E-03
495 0 0 1 16.8321 1.698E+10 3.314E+14 0 2.163E-03
360 0 0 1 17.2283 1.267E+10 2.358E+14 0 1.691E-03
447 0 0 1 16.9751 1.263E+10 3.124E+14 0 1.637E-03
373 0 0 1 17.2013 1.028E+10 4.244E+14 0 1.368E-03
504 0 0 1 16.7396 8.387E+09 2.686E+14 0 1.057E-03
466 0 0 1 16.9248 7.777E+09 3.472E+14 0 1.002E-03
334 0 0 1 17.2730 3.397E+09 3.109E+14 0 4.560E-04
459 0 0 1 16.9419 1.509E+09 3.170E+14 0 1.949E-04
510 0 0 1 16.6537 4.310E+08 3.590E+14 0 5.375E-05
500 0 0 1 16.8007 2.639E+08 3.091E+14 0 3.350E-05
509 0 0 1 16.6879 2.510E+08 3.298E+14 0 3.143E-05
