j g(j) i g(i) wl A A^a A/A^a f
8 4.000 1 2.000 9.28072 1.555E+13 2.124E+13 7.322E-01 4.017E-01
7 2.000 1 2.000 9.28256 1.500E+13 2.361E+13 6.354E-01 1.938E-01
16 4.000 1 2.000 8.04328 3.568E+12 1.281E+13 2.784E-01 6.920E-02
10 4.000 1 2.000 9.22510 1.500E+12 9.531E+13 1.574E-02 3.828E-02
17 2.000 1 2.000 8.04299 3.575E+12 1.284E+13 2.784E-01 3.467E-02
34 4.000 1 2.000 7.69877 1.610E+12 5.366E+12 3.000E-01 2.861E-02
26 4.000 1 2.000 7.98596 1.452E+12 2.060E+13 7.045E-02 2.776E-02
9 2.000 1 2.000 9.22626 2.056E+12 9.390E+13 2.189E-02 2.623E-02
60 4.000 1 2.000 7.55078 8.813E+11 2.654E+12 3.321E-01 1.507E-02
35 2.000 1 2.000 7.69866 1.615E+12 5.328E+12 3.031E-01 1.435E-02
25 2.000 1 2.000 7.98686 1.446E+12 2.088E+13 6.925E-02 1.383E-02
50 4.000 1 2.000 7.64093 5.813E+11 9.081E+12 6.401E-02 1.018E-02
94 4.000 1 2.000 7.47323 5.603E+11 1.518E+12 3.691E-01 9.385E-03
61 2.000 1 2.000 7.55072 8.845E+11 2.816E+12 3.141E-01 7.560E-03
125 4.000 1 2.000 7.42741 3.745E+11 1.186E+12 3.158E-01 6.195E-03
49 2.000 1 2.000 7.64127 5.770E+11 9.217E+12 6.260E-02 5.050E-03
82 4.000 1 2.000 7.49348 2.868E+11 4.646E+12 6.172E-02 4.829E-03
95 2.000 1 2.000 7.47320 5.620E+11 1.538E+12 3.653E-01 4.705E-03
159 4.000 1 2.000 7.41638 1.981E+11 2.604E+12 7.610E-02 3.268E-03
126 2.000 1 2.000 7.42739 3.757E+11 1.226E+12 3.064E-01 3.108E-03
81 2.000 1 2.000 7.49364 2.844E+11 4.695E+12 6.059E-02 2.395E-03
170 4.000 1 2.000 7.37093 1.233E+11 1.734E+12 7.109E-02 2.008E-03
158 2.000 1 2.000 7.41648 1.966E+11 2.642E+12 7.442E-02 1.622E-03
169 2.000 1 2.000 7.37098 1.222E+11 1.755E+12 6.964E-02 9.955E-04
5 4.000 1 2.000 9.39696 3.374E+09 1.115E+10 3.026E-01 8.934E-05
14 4.000 1 2.000 8.05905 2.590E+09 9.457E+09 2.739E-01 5.046E-05
22 6.000 1 2.000 8.02324 1.062E+09 1.028E+12 1.033E-03 3.075E-05
32 4.000 1 2.000 7.70454 1.220E+09 3.881E+10 3.143E-02 2.171E-05
23 4.000 1 2.000 8.02316 1.065E+09 1.031E+12 1.032E-03 2.055E-05
