j g(j) i g(i) wl A A^a A/A^a f
17 3.000 1 1.000 9.63051 3.983E+12 2.906E+14 1.371E-02 1.661E-01
20 3.000 1 1.000 9.60669 3.437E+12 7.948E+13 4.324E-02 1.427E-01
23 3.000 1 1.000 9.59002 1.609E+12 2.416E+14 6.659E-03 6.654E-02
44 3.000 1 1.000 8.65895 1.076E+12 3.206E+13 3.358E-02 3.630E-02
49 3.000 1 1.000 8.64997 5.333E+11 2.631E+13 2.027E-02 1.795E-02
155 3.000 1 1.000 8.42158 5.487E+11 1.733E+13 3.166E-02 1.750E-02
66 3.000 1 1.000 8.60994 5.087E+11 9.249E+12 5.500E-02 1.696E-02
80 3.000 1 1.000 8.60320 3.089E+11 9.784E+12 3.157E-02 1.028E-02
320 3.000 1 1.000 8.32327 2.467E+11 9.727E+12 2.536E-02 7.686E-03
229 3.000 1 1.000 8.36031 2.209E+11 6.678E+12 3.307E-02 6.943E-03
36 3.000 1 1.000 8.67708 1.995E+11 6.628E+12 3.010E-02 6.756E-03
99 3.000 1 1.000 8.58071 1.839E+11 8.408E+12 2.187E-02 6.089E-03
160 3.000 1 1.000 8.41714 1.813E+11 1.389E+13 1.305E-02 5.777E-03
650 3.000 1 1.000 8.24366 1.587E+11 1.775E+12 8.941E-02 4.852E-03
314 3.000 1 1.000 8.32570 1.392E+11 1.698E+12 8.198E-02 4.341E-03
153 3.000 1 1.000 8.42742 1.115E+11 2.818E+12 3.956E-02 3.562E-03
555 3.000 1 1.000 8.26087 1.105E+11 3.124E+12 3.538E-02 3.392E-03
436 3.000 1 1.000 8.27010 1.015E+11 5.851E+12 1.735E-02 3.123E-03
421 3.000 1 1.000 8.27446 9.970E+10 1.876E+12 5.316E-02 3.070E-03
903 3.000 1 1.000 8.20973 7.317E+10 1.615E+12 4.531E-02 2.218E-03
90 3.000 1 1.000 8.59637 6.560E+10 3.169E+13 2.070E-03 2.180E-03
233 3.000 1 1.000 8.35806 6.623E+10 5.294E+12 1.251E-02 2.081E-03
326 3.000 1 1.000 8.31911 6.627E+10 1.192E+13 5.561E-03 2.063E-03
419 3.000 1 1.000 8.27472 6.533E+10 1.164E+12 5.611E-02 2.012E-03
1079 3.000 1 1.000 8.17990 5.193E+10 1.001E+12 5.190E-02 1.563E-03
235 3.000 1 1.000 8.35349 4.480E+10 4.245E+12 1.055E-02 1.406E-03
659 3.000 1 1.000 8.24309 4.553E+10 2.738E+12 1.663E-02 1.392E-03
453 3.000 1 1.000 8.26831 4.250E+10 4.485E+12 9.475E-03 1.307E-03
38 3.000 1 1.000 8.67465 3.797E+10 9.365E+12 4.054E-03 1.285E-03
561 3.000 1 1.000 8.25939 3.483E+10 2.841E+12 1.226E-02 1.069E-03
150 3.000 1 1.000 8.42865 3.303E+10 3.396E+12 9.725E-03 1.055E-03
94 3.000 1 1.000 8.59172 2.590E+10 2.059E+13 1.258E-03 8.599E-04
219 3.000 1 1.000 8.37083 2.560E+10 5.537E+12 4.623E-03 8.068E-04
79 3.000 1 1.000 8.60371 2.392E+10 1.274E+13 1.877E-03 7.963E-04
318 3.000 1 1.000 8.32435 2.213E+10 4.730E+12 4.678E-03 6.896E-04
599 3.000 1 1.000 8.25657 2.034E+10 2.612E+12 7.788E-03 6.237E-04
225 3.000 1 1.000 8.36805 1.612E+10 5.858E+12 2.752E-03 5.078E-04
641 3.000 1 1.000 8.24419 1.630E+10 6.064E+11 2.689E-02 4.984E-04
1081 3.000 1 1.000 8.17918 1.551E+10 1.162E+12 1.335E-02 4.666E-04
669 3.000 1 1.000 8.24091 1.443E+10 2.981E+12 4.839E-03 4.407E-04
308 3.000 1 1.000 8.32680 1.073E+10 1.751E+12 6.126E-03 3.347E-04
431 3.000 1 1.000 8.27226 8.790E+09 2.269E+12 3.874E-03 2.705E-04
909 3.000 1 1.000 8.20649 8.470E+09 1.518E+12 5.581E-03 2.565E-04
799 3.000 1 1.000 8.22044 6.500E+09 1.768E+12 3.677E-03 1.976E-04
804 3.000 1 1.000 8.21961 6.253E+09 1.905E+12 3.283E-03 1.900E-04
423 3.000 1 1.000 8.27404 5.667E+09 1.340E+12 4.230E-03 1.745E-04
1087 3.000 1 1.000 8.17713 3.907E+09 1.027E+12 3.805E-03 1.174E-04
443 3.000 1 1.000 8.26892 3.042E+09 1.627E+12 1.869E-03 9.354E-05
793 3.000 1 1.000 8.22486 2.951E+09 4.465E+12 6.608E-04 8.978E-05
972 3.000 1 1.000 8.19020 1.959E+09 1.190E+12 1.645E-03 5.910E-05
967 3.000 1 1.000 8.19075 1.767E+09 1.007E+12 1.756E-03 5.332E-05
25 3.000 1 1.000 9.53406 8.940E+08 2.058E+14 4.343E-06 3.655E-05
911 3.000 1 1.000 8.20516 1.176E+09 5.726E+12 2.054E-04 3.562E-05
104 3.000 1 1.000 8.55850 9.997E+08 2.582E+13 3.872E-05 3.293E-05
33 3.000 1 1.000 8.68003 8.803E+08 9.846E+12 8.941E-05 2.983E-05
113 3.000 1 1.000 8.54661 8.757E+08 2.655E+13 3.298E-05 2.877E-05
1092 3.000 1 1.000 8.17630 8.833E+08 2.938E+12 3.007E-04 2.656E-05
609 3.000 1 1.000 8.25440 8.290E+08 9.332E+12 8.884E-05 2.541E-05
147 3.000 1 1.000 8.43050 5.937E+08 3.765E+12 1.577E-04 1.898E-05
638 3.000 1 1.000 8.24427 5.857E+08 2.322E+10 2.522E-02 1.790E-05
301 3.000 1 1.000 8.32812 5.600E+08 1.843E+12 3.039E-04 1.747E-05
795 3.000 1 1.000 8.22327 4.530E+08 2.250E+12 2.013E-04 1.377E-05
635 3.000 1 1.000 8.24521 2.879E+08 6.670E+11 4.317E-04 8.804E-06
302 3.000 1 1.000 8.32788 2.494E+08 3.784E+10 6.589E-03 7.779E-06
604 3.000 1 1.000 8.25633 2.444E+08 3.647E+10 6.701E-03 7.493E-06
417 3.000 1 1.000 8.27573 2.305E+08 1.044E+12 2.209E-04 7.101E-06
84 5.000 1 1.000 8.60149 1.206E+08 8.030E+11 1.502E-04 6.689E-06
1177 3.000 1 1.000 8.14495 2.018E+08 6.216E+12 3.246E-05 6.021E-06
1112 3.000 1 1.000 8.17441 1.986E+08 2.426E+12 8.184E-05 5.968E-06
1120 3.000 1 1.000 8.17309 1.924E+08 2.712E+12 7.094E-05 5.781E-06
607 3.000 1 1.000 8.25620 1.852E+08 4.352E+10 4.255E-03 5.677E-06
509 3.000 1 1.000 8.26428 1.733E+08 1.280E+10 1.354E-02 5.323E-06
507 3.000 1 1.000 8.26439 1.603E+08 1.256E+10 1.276E-02 4.923E-06
1178 3.000 1 1.000 8.14422 1.497E+08 3.176E+12 4.713E-05 4.465E-06
97 5.000 1 1.000 8.58836 7.084E+07 9.018E+11 7.856E-05 3.917E-06
264 3.000 1 1.000 8.34019 1.200E+08 3.617E+10 3.318E-03 3.755E-06
177 5.000 1 1.000 8.40196 6.998E+07 6.706E+11 1.044E-04 3.703E-06
101 3.000 1 1.000 8.56962 9.893E+07 2.474E+13 3.999E-06 3.268E-06
197 3.000 1 1.000 8.39475 9.783E+07 3.767E+10 2.597E-03 3.101E-06
741 3.000 1 1.000 8.23719 9.007E+07 8.499E+09 1.060E-02 2.748E-06
245 3.000 1 1.000 8.34855 8.210E+07 1.779E+13 4.614E-06 2.574E-06
375 3.000 1 1.000 8.30980 8.137E+07 2.045E+10 3.979E-03 2.527E-06
273 5.000 1 1.000 8.33968 4.344E+07 1.769E+12 2.455E-05 2.265E-06
739 3.000 1 1.000 8.23726 7.137E+07 8.387E+09 8.509E-03 2.178E-06
194 3.000 1 1.000 8.39555 6.540E+07 3.758E+10 1.740E-03 2.073E-06
484 3.000 1 1.000 8.26577 6.723E+07 1.263E+10 5.321E-03 2.066E-06
121 5.000 1 1.000 8.53807 3.766E+07 4.063E+12 9.269E-06 2.058E-06
377 3.000 1 1.000 8.30957 5.830E+07 2.068E+10 2.820E-03 1.811E-06
171 5.000 1 1.000 8.40482 3.294E+07 3.109E+11 1.059E-04 1.744E-06
340 5.000 1 1.000 8.31405 3.334E+07 5.230E+11 6.375E-05 1.728E-06
74 5.000 1 1.000 8.60770 3.066E+07 4.480E+11 6.843E-05 1.703E-06
126 5.000 1 1.000 8.53420 2.996E+07 1.963E+12 1.526E-05 1.636E-06
106 5.000 1 1.000 8.55176 2.644E+07 4.666E+11 5.666E-05 1.450E-06
336 5.000 1 1.000 8.31547 2.672E+07 1.877E+11 1.424E-04 1.385E-06
1122 3.000 1 1.000 8.17286 4.540E+07 1.449E+10 3.133E-03 1.364E-06
