j g(j) i g(i) wl A A+A^a A/(A+A^a) f
991 3.000 1 1.000 4.33005 2.101E+00 3.081E+11 6.820E-12 1.772E-14
557 3.000 1 1.000 4.37089 1.871E+00 1.733E+11 1.079E-11 1.607E-14
984 3.000 1 1.000 4.33038 1.632E+00 6.240E+11 2.615E-12 1.376E-14
688 5.000 1 1.000 4.35193 9.014E-01 3.607E+12 2.499E-13 1.280E-14
1178 3.000 1 1.000 4.31157 1.277E+00 4.576E+11 2.791E-12 1.068E-14
1135 3.000 1 1.000 4.32341 9.647E-01 3.503E+11 2.754E-12 8.109E-15
1132 3.000 1 1.000 4.32352 9.553E-01 3.715E+11 2.572E-12 8.031E-15
1007 3.000 1 1.000 4.32946 8.177E-01 2.635E+11 3.103E-12 6.894E-15
708 3.000 1 1.000 4.35167 7.547E-01 1.241E+11 6.083E-12 6.429E-15
245 3.000 1 1.000 4.44121 6.560E-01 1.095E+12 5.993E-13 5.821E-15
933 3.000 1 1.000 4.34228 6.210E-01 4.535E+11 1.369E-12 5.267E-15
690 5.000 1 1.000 4.35189 3.656E-01 4.249E+11 8.603E-13 5.189E-15
897 5.000 1 1.000 4.34725 2.998E-01 2.395E+10 1.252E-11 4.249E-15
930 3.000 1 1.000 4.34245 4.900E-01 5.422E+11 9.038E-13 4.155E-15
788 3.000 1 1.000 4.34901 4.687E-01 2.420E+10 1.937E-11 3.988E-15
1090 5.000 1 1.000 4.32886 1.769E-01 1.590E+10 1.112E-11 2.485E-15
364 5.000 1 1.000 4.40078 1.577E-01 1.219E+11 1.294E-12 2.290E-15
1095 3.000 1 1.000 4.32882 2.404E-01 2.404E+10 1.000E-11 2.026E-15
447 3.000 1 1.000 4.37981 2.109E-01 5.431E+11 3.883E-13 1.819E-15
118 3.000 1 1.000 4.57831 1.565E-01 2.260E+12 6.928E-14 1.476E-15
406 3.000 1 1.000 4.38977 1.595E-01 3.938E+12 4.050E-14 1.383E-15
962 3.000 1 1.000 4.33315 1.355E-01 1.398E+12 9.692E-14 1.144E-15
207 5.000 1 1.000 4.45749 7.196E-02 2.215E+11 3.249E-13 1.072E-15
182 5.000 1 1.000 4.46077 6.418E-02 2.285E+11 2.808E-13 9.574E-16
311 5.000 1 1.000 4.41747 4.730E-02 2.512E+11 1.883E-13 6.918E-16
342 3.000 1 1.000 4.40335 7.240E-02 2.556E+11 2.832E-13 6.315E-16
128 3.000 1 1.000 4.57300 5.450E-02 2.031E+12 2.683E-14 5.127E-16
489 3.000 1 1.000 4.37800 2.877E-02 6.182E+10 4.654E-13 2.480E-16
192 3.000 1 1.000 4.45948 2.029E-02 6.079E+12 3.338E-15 1.815E-16
657 5.000 1 1.000 4.35985 9.900E-03 1.430E+11 6.921E-14 1.411E-16
392 3.000 1 1.000 4.39885 8.970E-03 6.310E+10 1.422E-13 7.806E-17
622 3.000 1 1.000 4.36763 6.007E-03 3.691E+10 1.627E-13 5.153E-17
1181 5.000 1 1.000 4.31081 2.146E-03 5.905E+10 3.634E-14 2.990E-17
900 3.000 1 1.000 4.34720 2.993E-04 3.636E+10 8.231E-15 2.544E-18
629 5.000 1 1.000 4.36759 3.858E-05 2.416E+10 1.597E-15 5.517E-19
796 5.000 1 1.000 4.34899 1.508E-06 1.528E+10 9.869E-17 2.138E-20
