j g(j) i g(i) wl A A+A^a A/(A+A^a) f
19 5.000 1 5.000 7.06329 1.829E+13 4.459E+14 4.102E-02 1.368E-01
20 3.000 1 5.000 7.06101 1.028E+13 4.417E+14 2.327E-02 4.610E-02
44 7.000 1 5.000 6.44095 3.200E+12 3.063E+13 1.045E-01 2.786E-02
67 7.000 1 5.000 6.40913 1.224E+12 2.114E+13 5.791E-02 1.056E-02
58 5.000 1 5.000 6.41567 1.522E+12 8.069E+12 1.886E-01 9.392E-03
50 5.000 1 5.000 6.43615 1.491E+12 1.654E+13 9.012E-02 9.260E-03
47 5.000 1 5.000 6.43957 1.341E+12 2.961E+13 4.530E-02 8.340E-03
49 3.000 1 5.000 6.43793 2.000E+12 3.010E+13 6.644E-02 7.456E-03
150 7.000 1 5.000 6.29664 8.391E+11 8.229E+12 1.020E-01 6.984E-03
62 7.000 1 5.000 6.41216 5.013E+11 2.271E+13 2.208E-02 4.326E-03
226 7.000 1 5.000 6.26353 4.419E+11 6.373E+12 6.933E-02 3.640E-03
72 3.000 1 5.000 6.40307 8.730E+11 1.369E+13 6.375E-02 3.220E-03
154 3.000 1 5.000 6.29543 8.367E+11 9.870E+12 8.477E-02 2.982E-03
48 3.000 1 5.000 6.43860 7.657E+11 2.952E+13 2.593E-02 2.854E-03
156 5.000 1 5.000 6.29213 4.534E+11 8.216E+12 5.519E-02 2.690E-03
311 7.000 1 5.000 6.23849 3.269E+11 3.749E+12 8.719E-02 2.670E-03
153 5.000 1 5.000 6.29557 4.036E+11 8.582E+12 4.703E-02 2.398E-03
60 3.000 1 5.000 6.41492 6.440E+11 8.000E+12 8.050E-02 2.384E-03
147 7.000 1 5.000 6.29803 2.236E+11 6.378E+12 3.505E-02 1.862E-03
54 3.000 1 5.000 6.41693 4.560E+11 9.520E+12 4.790E-02 1.689E-03
445 7.000 1 5.000 6.20461 2.049E+11 2.847E+12 7.196E-02 1.655E-03
227 5.000 1 5.000 6.26287 2.386E+11 6.090E+12 3.918E-02 1.403E-03
315 7.000 1 5.000 6.23730 1.553E+11 2.846E+12 5.456E-02 1.268E-03
66 5.000 1 5.000 6.40927 1.986E+11 2.274E+13 8.731E-03 1.223E-03
429 7.000 1 5.000 6.20835 1.299E+11 2.683E+12 4.840E-02 1.051E-03
316 3.000 1 5.000 6.23699 2.925E+11 4.190E+12 6.981E-02 1.024E-03
650 7.000 1 5.000 6.19075 1.200E+11 1.361E+12 8.823E-02 9.656E-04
225 5.000 1 5.000 6.26356 1.504E+11 8.110E+12 1.854E-02 8.844E-04
231 3.000 1 5.000 6.26156 2.394E+11 5.073E+12 4.718E-02 8.442E-04
812 7.000 1 5.000 6.17458 1.000E+11 1.587E+12 6.303E-02 8.004E-04
442 5.000 1 5.000 6.20546 1.277E+11 1.742E+12 7.331E-02 7.376E-04
420 5.000 1 5.000 6.20896 1.239E+11 1.193E+12 1.039E-01 7.164E-04
63 5.000 1 5.000 6.41113 1.152E+11 2.323E+13 4.960E-03 7.102E-04
322 5.000 1 5.000 6.23472 1.152E+11 5.221E+12 2.206E-02 6.714E-04
430 7.000 1 5.000 6.20816 7.703E+10 2.577E+12 2.989E-02 6.232E-04
652 5.000 1 5.000 6.19033 1.059E+11 1.494E+12 7.087E-02 6.082E-04
317 5.000 1 5.000 6.23679 9.944E+10 3.152E+12 3.155E-02 5.798E-04
217 5.000 1 5.000 6.26747 9.712E+10 5.649E+12 1.719E-02 5.720E-04
811 5.000 1 5.000 6.17466 9.442E+10 1.341E+12 7.038E-02 5.398E-04
56 7.000 1 5.000 6.41661 6.233E+10 2.801E+13 2.225E-03 5.386E-04
65 7.000 1 5.000 6.41090 5.661E+10 2.284E+13 2.479E-03 4.884E-04
314 5.000 1 5.000 6.23763 7.952E+10 3.581E+12 2.220E-02 4.638E-04
1076 7.000 1 5.000 6.15716 5.381E+10 9.606E+11 5.602E-02 4.282E-04
158 3.000 1 5.000 6.29128 1.175E+11 8.522E+12 1.379E-02 4.184E-04
436 3.000 1 5.000 6.20683 1.145E+11 1.684E+12 6.801E-02 3.970E-04
232 3.000 1 5.000 6.26138 1.097E+11 4.870E+12 2.253E-02 3.870E-04
651 3.000 1 5.000 6.19051 1.119E+11 1.391E+12 8.043E-02 3.856E-04
223 5.000 1 5.000 6.26636 6.198E+10 4.876E+12 1.271E-02 3.648E-04
435 7.000 1 5.000 6.20687 4.497E+10 1.383E+12 3.252E-02 3.636E-04
320 5.000 1 5.000 6.23645 5.830E+10 2.624E+12 2.222E-02 3.400E-04
220 3.000 1 5.000 6.26685 9.573E+10 3.632E+12 2.636E-02 3.382E-04
444 3.000 1 5.000 6.20520 9.623E+10 1.782E+12 5.399E-02 3.332E-04
819 3.000 1 5.000 6.17431 9.713E+10 1.477E+12 6.578E-02 3.332E-04
219 7.000 1 5.000 6.26728 3.841E+10 6.642E+12 5.784E-03 3.168E-04
433 3.000 1 5.000 6.20768 9.067E+10 1.703E+12 5.323E-02 3.144E-04
1075 5.000 1 5.000 6.15721 5.370E+10 7.405E+11 7.252E-02 3.052E-04
214 7.000 1 5.000 6.26865 3.600E+10 8.123E+12 4.432E-03 2.970E-04
460 3.000 1 5.000 6.20340 8.487E+10 2.892E+12 2.934E-02 2.938E-04
440 5.000 1 5.000 6.20611 5.036E+10 1.562E+12 3.224E-02 2.908E-04
79 5.000 1 5.000 6.39380 4.476E+10 1.676E+13 2.671E-03 2.742E-04
99 5.000 1 5.000 6.38161 4.456E+10 2.045E+13 2.179E-03 2.720E-04
36 7.000 1 5.000 6.44726 2.974E+10 2.092E+13 1.422E-03 2.596E-04
216 3.000 1 5.000 6.26824 7.310E+10 3.835E+12 1.906E-02 2.584E-04
313 3.000 1 5.000 6.23822 6.360E+10 2.226E+12 2.857E-02 2.226E-04
437 5.000 1 5.000 6.20662 3.764E+10 1.635E+12 2.302E-02 2.174E-04
449 5.000 1 5.000 6.20427 3.640E+10 3.642E+12 9.995E-03 2.100E-04
434 5.000 1 5.000 6.20727 3.618E+10 2.148E+12 1.684E-02 2.090E-04
1078 3.000 1 5.000 6.15702 5.970E+10 8.176E+11 7.302E-02 2.036E-04
300 5.000 1 5.000 6.24021 3.458E+10 5.349E+12 6.464E-03 2.020E-04
55 5.000 1 5.000 6.41693 3.244E+10 2.800E+13 1.159E-03 2.002E-04
148 5.000 1 5.000 6.29727 3.220E+10 6.127E+12 5.255E-03 1.915E-04
228 3.000 1 5.000 6.26261 5.037E+10 6.770E+12 7.440E-03 1.777E-04
52 3.000 1 5.000 6.43542 4.647E+10 2.004E+13 2.319E-03 1.732E-04
656 7.000 1 5.000 6.18921 2.037E+10 7.958E+11 2.560E-02 1.638E-04
81 3.000 1 5.000 6.39372 4.337E+10 1.817E+13 2.387E-03 1.595E-04
45 5.000 1 5.000 6.44033 2.498E+10 1.245E+13 2.007E-03 1.554E-04
421 3.000 1 5.000 6.20896 4.163E+10 2.388E+12 1.743E-02 1.443E-04
446 5.000 1 5.000 6.20461 2.358E+10 3.987E+12 5.915E-03 1.361E-04
415 7.000 1 5.000 6.20925 1.651E+10 3.579E+12 4.614E-03 1.337E-04
152 5.000 1 5.000 6.29576 2.086E+10 4.340E+12 4.807E-03 1.239E-04
657 5.000 1 5.000 6.18909 2.158E+10 9.423E+11 2.290E-02 1.239E-04
70 5.000 1 5.000 6.40483 1.976E+10 2.149E+13 9.198E-04 1.215E-04
794 7.000 1 5.000 6.17907 1.384E+10 1.900E+12 7.285E-03 1.109E-04
22 3.000 1 5.000 7.03170 2.398E+10 4.297E+14 5.582E-05 1.067E-04
431 3.000 1 5.000 6.20791 3.023E+10 1.745E+12 1.732E-02 1.048E-04
301 3.000 1 5.000 6.24018 2.974E+10 5.263E+12 5.651E-03 1.042E-04
655 3.000 1 5.000 6.18924 2.952E+10 6.734E+11 4.384E-02 1.017E-04
100 3.000 1 5.000 6.38055 2.513E+10 1.925E+13 1.305E-03 9.202E-05
324 3.000 1 5.000 6.23381 2.530E+10 5.893E+12 4.293E-03 8.842E-05
318 3.000 1 5.000 6.23678 2.515E+10 2.906E+12 8.653E-03 8.798E-05
69 5.000 1 5.000 6.40791 1.366E+10 2.944E+13 4.639E-04 8.408E-05
432 5.000 1 5.000 6.20782 1.354E+10 2.675E+12 5.061E-03 7.824E-05
438 3.000 1 5.000 6.20640 2.164E+10 1.829E+12 1.183E-02 7.498E-05
424 5.000 1 5.000 6.20869 1.252E+10 2.985E+12 4.194E-03 7.236E-05
68 3.000 1 5.000 6.40866 1.881E+10 2.091E+13 8.997E-04 6.952E-05
796 5.000 1 5.000 6.17877 1.118E+10 1.842E+12 6.068E-03 6.396E-05
230 5.000 1 5.000 6.26158 1.067E+10 7.909E+12 1.349E-03 6.272E-05
146 3.000 1 5.000 6.29873 1.756E+10 2.485E+12 7.069E-03 6.268E-05
962 7.000 1 5.000 6.16159 7.783E+09 1.106E+12 7.036E-03 6.202E-05
659 5.000 1 5.000 6.18887 9.036E+09 1.385E+12 6.524E-03 5.188E-05
64 3.000 1 5.000 6.41108 1.234E+10 2.262E+13 5.455E-04 4.562E-05
799 3.000 1 5.000 6.17849 1.250E+10 1.473E+12 8.484E-03 4.290E-05
964 5.000 1 5.000 6.16142 7.428E+09 1.089E+12 6.821E-03 4.228E-05
303 5.000 1 5.000 6.24016 6.786E+09 8.572E+11 7.917E-03 3.962E-05
213 5.000 1 5.000 6.26887 5.772E+09 8.280E+12 6.971E-04 3.402E-05
795 3.000 1 5.000 6.17898 8.873E+09 1.499E+12 5.920E-03 3.048E-05
441 3.000 1 5.000 6.20577 7.210E+09 2.018E+12 3.572E-03 2.498E-05
30 5.000 1 5.000 6.45209 3.908E+09 8.006E+12 4.881E-04 2.440E-05
813 5.000 1 5.000 6.17456 3.922E+09 2.293E+12 1.711E-03 2.242E-05
426 5.000 1 5.000 6.20862 3.348E+09 8.525E+11 3.928E-03 1.935E-05
299 3.000 1 5.000 6.24021 5.397E+09 1.067E+12 5.057E-03 1.890E-05
144 5.000 1 5.000 6.29966 2.792E+09 2.676E+12 1.043E-03 1.661E-05
828 3.000 1 5.000 6.17389 4.587E+09 2.078E+12 2.208E-03 1.572E-05
963 3.000 1 5.000 6.16155 4.040E+09 9.184E+11 4.399E-03 1.380E-05
37 5.000 1 5.000 6.44659 2.156E+09 2.049E+13 1.052E-04 1.344E-05
98 3.000 1 5.000 6.38345 3.543E+09 1.783E+13 1.987E-04 1.299E-05
966 3.000 1 5.000 6.16128 3.703E+09 8.834E+11 4.192E-03 1.264E-05
800 7.000 1 5.000 6.17849 1.398E+09 1.646E+12 8.491E-04 1.120E-05
802 5.000 1 5.000 6.17814 1.800E+09 1.497E+12 1.202E-03 1.030E-05
321 3.000 1 5.000 6.23589 2.813E+09 4.110E+12 6.844E-04 9.840E-06
31 3.000 1 5.000 6.45140 2.601E+09 7.713E+12 3.372E-04 9.736E-06
413 5.000 1 5.000 6.20941 1.589E+09 3.818E+12 4.162E-04 9.184E-06
667 5.000 1 5.000 6.18812 1.391E+09 9.107E+11 1.527E-03 7.986E-06
155 3.000 1 5.000 6.29467 2.213E+09 9.232E+12 2.397E-04 7.886E-06
793 5.000 1 5.000 6.17918 1.216E+09 2.174E+12 5.594E-04 6.960E-06
1077 5.000 1 5.000 6.15715 1.198E+09 1.391E+12 8.616E-04 6.812E-06
648 5.000 1 5.000 6.19094 1.145E+09 4.862E+11 2.356E-03 6.582E-06
305 5.000 1 5.000 6.23922 1.097E+09 1.428E+12 7.685E-04 6.402E-06
539 3.000 1 5.000 6.20057 1.529E+09 5.769E+12 2.651E-04 5.288E-06
224 5.000 1 5.000 6.26543 7.764E+08 5.352E+12 1.451E-04 4.570E-06
87 9.000 1 5.000 6.39140 3.864E+08 5.479E+11 7.053E-04 4.260E-06
309 7.000 1 5.000 6.23892 5.150E+08 2.048E+10 2.515E-02 4.208E-06
455 3.000 1 5.000 6.20370 1.211E+09 3.327E+12 3.640E-04 4.192E-06
428 7.000 1 5.000 6.20852 4.957E+08 3.139E+12 1.580E-04 4.010E-06
900 3.000 1 5.000 6.17207 1.066E+09 3.378E+12 3.155E-04 3.652E-06
961 5.000 1 5.000 6.16165 6.164E+08 1.313E+12 4.696E-04 3.508E-06
970 5.000 1 5.000 6.16086 5.870E+08 9.769E+11 6.009E-04 3.340E-06
143 7.000 1 5.000 6.30009 4.002E+08 2.658E+12 1.506E-04 3.334E-06
658 3.000 1 5.000 6.18891 8.530E+08 1.257E+12 6.784E-04 2.940E-06
234 3.000 1 5.000 6.25443 7.809E+08 1.108E+13 7.045E-05 2.749E-06
461 5.000 1 5.000 6.20295 4.428E+08 3.822E+12 1.159E-04 2.554E-06
675 3.000 1 5.000 6.18772 7.330E+08 1.686E+12 4.348E-04 2.524E-06
