j g(j) i g(i) wl A A^a A/A^a f
8 4.000 1 2.000 13.6461 6.815E+12 1.299E+13 5.245E-01 3.805E-01
7 2.000 1 2.000 13.6478 6.685E+12 1.430E+13 4.675E-01 1.867E-01
16 4.000 1 2.000 11.8921 1.601E+12 1.008E+13 1.588E-01 6.785E-02
10 4.000 1 2.000 13.5438 7.053E+11 8.953E+13 7.878E-03 3.879E-02
17 2.000 1 2.000 11.8919 1.602E+12 1.008E+13 1.589E-01 3.398E-02
34 4.000 1 2.000 11.4053 7.345E+11 4.192E+12 1.752E-01 2.865E-02
26 4.000 1 2.000 11.7907 6.460E+11 1.871E+13 3.452E-02 2.693E-02
9 2.000 1 2.000 13.5450 8.320E+11 8.855E+13 9.395E-03 2.289E-02
60 4.000 1 2.000 11.1961 4.105E+11 2.154E+12 1.906E-01 1.543E-02
35 2.000 1 2.000 11.4052 7.360E+11 4.156E+12 1.771E-01 1.435E-02
25 2.000 1 2.000 11.7915 6.440E+11 1.844E+13 3.492E-02 1.343E-02
90 4.000 1 2.000 11.0864 2.948E+11 9.396E+11 3.137E-01 1.086E-02
50 4.000 1 2.000 11.3025 2.603E+11 8.321E+12 3.128E-02 9.965E-03
61 2.000 1 2.000 11.1961 4.112E+11 2.112E+12 1.947E-01 7.730E-03
125 4.000 1 2.000 11.0217 1.877E+11 9.380E+11 2.001E-01 6.835E-03
91 2.000 1 2.000 11.0864 2.943E+11 1.028E+12 2.864E-01 5.425E-03
49 2.000 1 2.000 11.3029 2.590E+11 8.446E+12 3.066E-02 4.960E-03
83 4.000 1 2.000 11.0942 1.003E+11 4.752E+12 2.111E-02 3.702E-03
126 2.000 1 2.000 11.0217 1.880E+11 9.544E+11 1.969E-01 3.423E-03
159 4.000 1 2.000 10.9852 8.938E+10 2.514E+12 3.555E-02 3.235E-03
170 4.000 1 2.000 10.9209 5.853E+10 1.652E+12 3.542E-02 2.094E-03
82 2.000 1 2.000 11.0943 1.005E+11 4.795E+12 2.096E-02 1.855E-03
158 2.000 1 2.000 10.9852 8.895E+10 2.529E+12 3.518E-02 1.609E-03
169 2.000 1 2.000 10.9210 5.825E+10 1.669E+12 3.490E-02 1.042E-03
4 4.000 1 2.000 13.8479 4.238E+08 2.589E+09 1.637E-01 2.437E-05
22 6.000 1 2.000 11.8583 2.805E+08 5.822E+11 4.818E-04 1.774E-05
14 4.000 1 2.000 11.9197 3.276E+08 2.185E+09 1.499E-01 1.395E-05
