j g(j) i g(i) wl A A+A^a A/(A+A^a) f
19 5.000 1 5.000 5.32017 3.422E+13 4.591E+13 7.454E-01 1.453E-01
20 3.000 1 5.000 5.31781 1.951E+13 4.638E+13 4.206E-01 4.962E-02
44 7.000 1 5.000 4.80296 6.286E+12 6.286E+12 1.000E+00 3.044E-02
47 5.000 1 5.000 4.80165 3.320E+12 6.124E+12 5.421E-01 1.148E-02
67 7.000 1 5.000 4.78048 2.364E+12 4.084E+12 5.789E-01 1.134E-02
48 3.000 1 5.000 4.80109 5.323E+12 5.732E+12 9.286E-01 1.104E-02
58 5.000 1 5.000 4.78544 2.970E+12 3.742E+12 7.937E-01 1.020E-02
51 5.000 1 5.000 4.79941 2.366E+12 5.334E+12 4.436E-01 8.170E-03
149 7.000 1 5.000 4.67729 1.349E+12 1.349E+12 9.999E-01 6.192E-03
62 7.000 1 5.000 4.78334 1.080E+12 5.925E+12 1.822E-01 5.184E-03
147 7.000 1 5.000 4.67851 8.984E+11 8.986E+11 9.998E-01 4.128E-03
226 7.000 1 5.000 4.65440 8.567E+11 1.204E+12 7.115E-01 3.896E-03
152 3.000 1 5.000 4.67659 1.865E+12 2.094E+12 8.909E-01 3.670E-03
316 7.000 1 5.000 4.62638 7.790E+11 7.792E+11 9.998E-01 3.500E-03
72 3.000 1 5.000 4.77632 1.572E+12 4.013E+12 3.918E-01 3.226E-03
61 3.000 1 5.000 4.78455 1.344E+12 5.933E+12 2.265E-01 2.766E-03
156 5.000 1 5.000 4.67433 7.612E+11 1.927E+12 3.950E-01 2.494E-03
154 5.000 1 5.000 4.67641 6.990E+11 9.912E+11 7.052E-01 2.292E-03
55 3.000 1 5.000 4.78672 1.090E+12 5.670E+12 1.922E-01 2.246E-03
457 7.000 1 5.000 4.59970 4.761E+11 4.764E+11 9.995E-01 2.114E-03
424 7.000 1 5.000 4.60268 3.691E+11 5.039E+11 7.326E-01 1.641E-03
153 5.000 1 5.000 4.67650 4.200E+11 8.804E+11 4.770E-01 1.377E-03
318 5.000 1 5.000 4.62563 4.244E+11 5.331E+11 7.961E-01 1.361E-03
423 5.000 1 5.000 4.60285 4.046E+11 5.763E+11 7.020E-01 1.285E-03
319 7.000 1 5.000 4.62504 2.654E+11 2.655E+11 9.999E-01 1.192E-03
654 7.000 1 5.000 4.58417 2.694E+11 2.695E+11 9.998E-01 1.189E-03
225 5.000 1 5.000 4.65455 3.628E+11 8.372E+11 4.334E-01 1.178E-03
63 5.000 1 5.000 4.78243 3.428E+11 4.459E+11 7.688E-01 1.175E-03
227 5.000 1 5.000 4.65412 3.504E+11 8.799E+11 3.982E-01 1.138E-03
320 3.000 1 5.000 4.62501 5.723E+11 6.311E+11 9.069E-01 1.101E-03
56 7.000 1 5.000 4.78645 2.179E+11 2.185E+11 9.972E-01 1.048E-03
462 5.000 1 5.000 4.59914 3.066E+11 3.577E+11 8.570E-01 9.722E-04
321 5.000 1 5.000 4.62470 2.910E+11 4.366E+11 6.665E-01 9.332E-04
66 5.000 1 5.000 4.78076 2.652E+11 2.819E+12 9.408E-02 9.086E-04
