j g(j) i g(i) wl A A^a A/A^a f
19 5.000 1 5.000 9.81596 8.632E+12 3.567E+14 2.420E-02 1.247E-01
20 3.000 1 5.000 9.81382 4.817E+12 3.539E+14 1.361E-02 4.172E-02
43 7.000 1 5.000 9.07338 1.369E+12 2.166E+13 6.319E-02 2.366E-02
50 5.000 1 5.000 9.06607 7.134E+11 1.031E+13 6.918E-02 8.790E-03
57 5.000 1 5.000 9.03511 6.012E+11 5.544E+12 1.084E-01 7.358E-03
49 3.000 1 5.000 9.06903 9.907E+11 2.213E+13 4.477E-02 7.330E-03
67 7.000 1 5.000 9.02579 4.031E+11 1.504E+13 2.680E-02 6.894E-03
147 7.000 1 5.000 8.91435 3.697E+11 5.514E+12 6.706E-02 6.166E-03
45 5.000 1 5.000 9.07200 4.692E+11 2.091E+13 2.244E-02 5.790E-03
61 7.000 1 5.000 9.02903 2.289E+11 1.560E+13 1.467E-02 3.916E-03
225 7.000 1 5.000 8.86427 1.731E+11 4.010E+12 4.317E-02 2.856E-03
72 3.000 1 5.000 9.01721 3.900E+11 9.377E+12 4.159E-02 2.852E-03
63 7.000 1 5.000 9.02754 1.266E+11 1.618E+13 7.823E-03 2.166E-03
150 3.000 1 5.000 8.91262 2.888E+11 6.241E+12 4.627E-02 2.064E-03
156 5.000 1 5.000 8.90651 1.610E+11 5.140E+12 3.133E-02 1.915E-03
243 7.000 1 5.000 8.85140 1.050E+11 2.157E+12 4.869E-02 1.727E-03
60 3.000 1 5.000 9.03438 2.215E+11 5.239E+12 4.228E-02 1.626E-03
227 5.000 1 5.000 8.86319 1.370E+11 3.327E+12 4.118E-02 1.614E-03
149 5.000 1 5.000 8.91316 1.246E+11 5.612E+12 2.220E-02 1.484E-03
54 3.000 1 5.000 9.03614 1.894E+11 5.863E+12 3.230E-02 1.391E-03
547 7.000 1 5.000 8.80027 8.290E+10 6.771E+11 1.224E-01 1.348E-03
539 5.000 1 5.000 8.80070 1.083E+11 6.102E+11 1.775E-01 1.258E-03
246 7.000 1 5.000 8.85031 7.550E+10 1.891E+12 3.992E-02 1.241E-03
404 7.000 1 5.000 8.81898 7.023E+10 1.350E+12 5.201E-02 1.146E-03
66 5.000 1 5.000 9.02595 8.810E+10 1.500E+13 5.875E-03 1.076E-03
52 3.000 1 5.000 9.06550 1.116E+11 1.218E+13 9.160E-03 8.252E-04
231 3.000 1 5.000 8.86182 1.154E+11 1.856E+12 6.217E-02 8.152E-04
251 3.000 1 5.000 8.84961 1.083E+11 2.392E+12 4.529E-02 7.632E-04
226 5.000 1 5.000 8.86417 6.284E+10 5.049E+12 1.245E-02 7.404E-04
62 5.000 1 5.000 9.02758 5.880E+10 1.715E+13 3.430E-03 7.186E-04
89 5.000 1 5.000 9.00133 5.652E+10 9.620E+12 5.875E-03 6.866E-04
545 3.000 1 5.000 8.80033 9.817E+10 4.117E+11 2.384E-01 6.838E-04
47 3.000 1 5.000 9.07102 9.103E+10 2.123E+13 4.288E-03 6.740E-04
143 7.000 1 5.000 8.91616 3.980E+10 3.964E+12 1.004E-02 6.642E-04
99 5.000 1 5.000 8.98081 5.082E+10 1.296E+13 3.922E-03 6.146E-04
806 7.000 1 5.000 8.76818 3.660E+10 8.858E+11 4.132E-02 5.906E-04
544 7.000 1 5.000 8.80043 3.261E+10 1.825E+12 1.787E-02 5.302E-04
232 3.000 1 5.000 8.86149 6.623E+10 2.931E+12 2.260E-02 4.678E-04
805 5.000 1 5.000 8.76823 3.632E+10 8.059E+11 4.507E-02 4.186E-04
261 5.000 1 5.000 8.84551 3.562E+10 3.515E+12 1.013E-02 4.178E-04
406 5.000 1 5.000 8.81821 3.562E+10 1.321E+12 2.697E-02 4.152E-04
157 3.000 1 5.000 8.90571 5.670E+10 5.215E+12 1.087E-02 4.044E-04
217 5.000 1 5.000 8.86863 3.380E+10 3.412E+12 9.905E-03 3.984E-04
55 5.000 1 5.000 9.03544 2.780E+10 2.027E+13 1.371E-03 3.402E-04
1025 7.000 1 5.000 8.74960 1.901E+10 7.988E+11 2.380E-02 3.056E-04
249 5.000 1 5.000 8.84965 2.576E+10 1.791E+12 1.439E-02 3.026E-04
407 7.000 1 5.000 8.81766 1.803E+10 8.257E+11 2.183E-02 2.942E-04
408 3.000 1 5.000 8.81759 4.003E+10 1.116E+12 3.588E-02 2.800E-04
56 7.000 1 5.000 9.03518 1.586E+10 2.073E+13 7.651E-04 2.718E-04
90 3.000 1 5.000 9.00114 3.730E+10 1.049E+13 3.555E-03 2.718E-04
808 3.000 1 5.000 8.76776 3.840E+10 8.797E+11 4.365E-02 2.656E-04
405 3.000 1 5.000 8.81857 3.793E+10 1.137E+12 3.335E-02 2.654E-04
252 5.000 1 5.000 8.84932 2.014E+10 1.601E+12 1.258E-02 2.364E-04
100 3.000 1 5.000 8.97989 3.076E+10 1.236E+13 2.488E-03 2.232E-04
229 5.000 1 5.000 8.86203 1.890E+10 4.872E+12 3.880E-03 2.226E-04
1022 5.000 1 5.000 8.74964 1.898E+10 3.593E+12 5.284E-03 2.178E-04
409 5.000 1 5.000 8.81735 1.646E+10 9.797E+11 1.680E-02 1.919E-04
219 7.000 1 5.000 8.86850 1.035E+10 4.003E+12 2.586E-03 1.709E-04
414 5.000 1 5.000 8.81601 1.419E+10 1.500E+12 9.462E-03 1.654E-04
220 3.000 1 5.000 8.86815 2.268E+10 1.631E+12 1.390E-02 1.604E-04
