j g(j) i g(i) wl A A+A^a A/(A+A^a) f
15 3.000 1 1.000 10.981 7.480E+12 7.675E+12 9.746E-01 4.058E-01
14 3.000 1 1.000 11.019 4.610E+12 4.741E+12 9.724E-01 2.519E-01
52 3.000 1 1.000 8.30479 4.720E+12 5.772E+12 8.177E-01 1.464E-01
88 3.000 1 1.000 7.47279 2.593E+12 3.487E+12 7.438E-01 6.514E-02
124 3.000 1 1.000 7.08916 1.564E+12 2.282E+12 6.855E-01 3.536E-02
50 3.000 1 1.000 8.31700 1.086E+12 2.088E+12 5.202E-01 3.380E-02
46 3.000 1 1.000 10.1625 5.257E+11 2.017E+13 2.606E-02 2.442E-02
25 3.000 1 1.000 10.5049 4.887E+11 3.452E+12 1.416E-01 2.426E-02
144 3.000 1 1.000 6.87752 1.001E+12 1.608E+12 6.225E-01 2.129E-02
22 3.000 1 1.000 10.6780 2.674E+11 2.768E+12 9.662E-02 1.372E-02
86 3.000 1 1.000 7.47829 4.713E+11 1.294E+12 3.642E-01 1.185E-02
82 3.000 1 1.000 7.91421 2.394E+11 9.426E+12 2.540E-02 6.746E-03
36 3.000 1 1.000 10.3565 1.390E+11 2.474E+13 5.620E-03 6.708E-03
122 3.000 1 1.000 7.09223 2.334E+11 8.487E+11 2.750E-01 5.281E-03
118 3.000 1 1.000 7.17498 1.492E+11 5.027E+12 2.969E-02 3.455E-03
142 3.000 1 1.000 6.87919 1.531E+11 7.153E+11 2.140E-01 3.258E-03
66 3.000 1 1.000 8.00652 1.119E+11 1.055E+13 1.060E-02 3.226E-03
138 3.000 1 1.000 6.89042 1.017E+11 3.180E+12 3.199E-02 2.173E-03
102 3.000 1 1.000 7.24577 7.823E+10 5.482E+12 1.427E-02 1.847E-03
20 5.000 1 1.000 10.7854 2.036E+10 1.506E+13 1.352E-03 1.775E-03
164 3.000 1 1.000 6.82763 4.530E+10 3.002E+12 1.509E-02 9.495E-04
190 3.000 1 1.000 6.63404 4.077E+10 1.942E+12 2.099E-02 8.067E-04
174 3.000 1 1.000 6.69228 2.928E+10 2.073E+12 1.412E-02 5.898E-04
216 3.000 1 1.000 6.51408 2.882E+10 1.330E+12 2.167E-02 5.501E-04
150 3.000 1 1.000 6.84523 2.085E+10 8.667E+11 2.405E-02 4.394E-04
200 3.000 1 1.000 6.56984 2.203E+10 1.413E+12 1.560E-02 4.277E-04
68 3.000 1 1.000 7.99817 1.357E+10 2.072E+12 6.549E-03 3.904E-04
58 3.000 1 1.000 8.08431 1.200E+10 1.752E+12 6.851E-03 3.529E-04
226 3.000 1 1.000 6.48847 1.664E+10 1.012E+12 1.645E-02 3.152E-04
252 3.000 1 1.000 6.43145 1.672E+10 7.517E+11 2.224E-02 3.111E-04
278 3.000 1 1.000 6.37840 1.645E+10 7.179E+11 2.291E-02 3.010E-04
244 3.000 1 1.000 6.43434 1.595E+10 9.246E+11 1.725E-02 2.970E-04
42 3.000 1 1.000 10.2330 5.567E+09 1.799E+13 3.095E-04 2.622E-04
304 3.000 1 1.000 6.33769 1.124E+10 5.546E+11 2.027E-02 2.031E-04
56 5.000 1 1.000 8.26593 3.680E+09 7.963E+12 4.621E-04 1.885E-04
340 3.000 1 1.000 6.30704 9.890E+09 4.460E+11 2.218E-02 1.770E-04
262 3.000 1 1.000 6.39003 8.573E+09 5.854E+11 1.465E-02 1.575E-04
366 3.000 1 1.000 6.28341 8.087E+09 3.705E+11 2.183E-02 1.436E-04
288 3.000 1 1.000 6.35883 7.250E+09 4.652E+11 1.558E-02 1.318E-04
314 3.000 1 1.000 6.33475 7.010E+09 3.824E+11 1.833E-02 1.265E-04
382 3.000 1 1.000 6.26478 6.613E+09 3.264E+11 2.026E-02 1.167E-04
398 3.000 1 1.000 6.24983 5.710E+09 3.505E+11 1.629E-02 1.003E-04
130 3.000 1 1.000 6.90705 3.843E+09 7.375E+11 5.211E-03 8.245E-05
324 3.000 1 1.000 6.31580 4.597E+09 3.344E+11 1.374E-02 8.244E-05
78 3.000 1 1.000 7.92915 2.829E+09 8.671E+12 3.263E-04 8.001E-05
350 3.000 1 1.000 6.30058 4.347E+09 3.483E+11 1.248E-02 7.759E-05
92 5.000 1 1.000 7.45807 1.135E+09 4.448E+12 2.552E-04 4.734E-05
114 3.000 1 1.000 7.18086 1.845E+09 4.657E+12 3.962E-04 4.279E-05
128 5.000 1 1.000 7.08202 4.806E+08 2.784E+12 1.726E-04 1.807E-05
160 3.000 1 1.000 6.83064 4.967E+08 2.788E+12 1.781E-04 1.042E-05
242 3.000 1 1.000 6.43460 5.583E+08 2.475E+11 2.256E-03 1.040E-05
186 3.000 1 1.000 6.63581 4.937E+08 1.800E+12 2.742E-04 9.777E-06
176 3.000 1 1.000 6.64458 4.737E+08 5.855E+11 8.090E-04 9.406E-06
148 5.000 1 1.000 6.87311 2.528E+08 1.872E+12 1.350E-04 8.950E-06
18 5.000 1 1.000 10.8663 8.718E+07 2.221E+13 3.925E-06 7.717E-06
212 3.000 1 1.000 6.51522 3.520E+08 1.230E+12 2.863E-04 6.724E-06
239 3.000 1 1.000 6.43512 3.076E+08 8.902E+11 3.455E-04 5.729E-06
94 3.000 1 1.000 7.27790 2.121E+08 1.112E+12 1.907E-04 5.054E-06
166 3.000 1 1.000 6.70212 2.260E+08 5.128E+11 4.407E-04 4.566E-06
37 5.000 1 1.000 10.3016 5.534E+07 8.021E+12 6.899E-06 4.403E-06
274 3.000 1 1.000 6.37897 1.935E+08 6.532E+11 2.963E-04 3.542E-06
104 3.000 1 1.000 7.20959 1.382E+08 1.285E+12 1.075E-04 3.231E-06
300 3.000 1 1.000 6.33810 1.482E+08 5.095E+11 2.908E-04 2.677E-06
35 5.000 1 1.000 10.3687 3.138E+07 6.947E+12 4.517E-06 2.530E-06
26 5.000 1 1.000 10.4995 2.516E+07 4.488E+12 5.606E-06 2.079E-06
336 3.000 1 1.000 6.30737 1.160E+08 4.003E+11 2.899E-04 2.076E-06
362 3.000 1 1.000 6.28367 9.287E+07 3.277E+11 2.834E-04 1.649E-06
54 5.000 1 1.000 8.28150 2.778E+07 9.249E+12 3.003E-06 1.429E-06
378 3.000 1 1.000 6.26499 7.057E+07 2.842E+11 2.483E-04 1.246E-06
394 3.000 1 1.000 6.25001 6.270E+07 2.927E+11 2.142E-04 1.102E-06
202 3.000 1 1.000 6.52088 5.537E+07 4.163E+11 1.330E-04 1.059E-06
90 5.000 1 1.000 7.46402 1.019E+07 4.783E+12 2.131E-06 4.257E-07
16 5.000 1 1.000 10.9779 4.682E+06 8.455E+10 5.538E-05 4.230E-07
192 3.000 1 1.000 6.57619 1.038E+07 3.677E+11 2.824E-05 2.019E-07
51 5.000 1 1.000 8.30789 3.676E+06 9.395E+11 3.913E-06 1.902E-07
126 5.000 1 1.000 7.08504 4.322E+06 2.815E+12 1.536E-06 1.626E-07
146 5.000 1 1.000 6.87490 3.814E+06 1.872E+12 2.037E-06 1.351E-07
134 5.000 1 1.000 6.89659 3.398E+06 1.491E+12 2.278E-06 1.211E-07
109 5.000 1 1.000 7.18843 2.640E+06 2.446E+12 1.079E-06 1.023E-07
228 3.000 1 1.000 6.43896 5.410E+06 3.119E+11 1.735E-05 1.009E-07
87 5.000 1 1.000 7.47464 2.366E+06 7.740E+11 3.057E-06 9.910E-08
97 5.000 1 1.000 7.25811 2.358E+06 2.322E+12 1.016E-06 9.311E-08
254 3.000 1 1.000 6.39234 3.883E+06 1.781E+11 2.180E-05 7.139E-08
316 3.000 1 1.000 6.31690 3.400E+06 1.382E+11 2.461E-05 6.105E-08
123 5.000 1 1.000 7.09040 1.530E+06 5.768E+11 2.652E-06 5.764E-08
264 3.000 1 1.000 6.38175 3.052E+06 2.465E+11 1.238E-05 5.590E-08
280 3.000 1 1.000 6.36059 2.747E+06 1.510E+11 1.819E-05 4.999E-08
73 5.000 1 1.000 7.94739 9.332E+05 4.215E+12 2.214E-07 4.418E-08
169 5.000 1 1.000 6.69601 1.222E+06 1.007E+12 1.214E-06 4.107E-08
143 5.000 1 1.000 6.87802 1.055E+06 4.997E+11 2.111E-06 3.740E-08
106 5.000 1 1.000 7.19504 9.092E+05 2.388E+12 3.807E-07 3.529E-08
61 5.000 1 1.000 8.03742 6.958E+05 3.744E+12 1.859E-07 3.369E-08
195 5.000 1 1.000 6.57223 1.012E+06 7.098E+11 1.426E-06 3.277E-08
181 5.000 1 1.000 6.63817 9.028E+05 1.059E+12 8.522E-07 2.982E-08
342 3.000 1 1.000 6.30148 1.437E+06 2.098E+11 6.850E-06 2.567E-08
221 5.000 1 1.000 6.49010 7.878E+05 5.237E+11 1.504E-06 2.488E-08
207 5.000 1 1.000 6.51673 7.178E+05 7.387E+11 9.718E-07 2.285E-08
247 5.000 1 1.000 6.43264 7.188E+05 4.071E+11 1.766E-06 2.229E-08
155 5.000 1 1.000 6.83468 4.782E+05 1.617E+12 2.957E-07 1.674E-08
41 5.000 1 1.000 10.2338 2.010E+05 1.948E+13 1.032E-08 1.578E-08
39 5.000 1 1.000 10.2810 1.942E+05 1.431E+13 1.357E-08 1.538E-08
233 5.000 1 1.000 6.43612 4.596E+05 5.406E+11 8.502E-07 1.427E-08
269 5.000 1 1.000 6.37970 4.440E+05 4.175E+11 1.063E-06 1.355E-08
257 5.000 1 1.000 6.39090 4.290E+05 3.136E+11 1.368E-06 1.314E-08
70 5.000 1 1.000 7.96369 2.352E+05 3.986E+12 5.901E-08 1.118E-08
283 5.000 1 1.000 6.35949 3.610E+05 2.578E+11 1.400E-06 1.095E-08
178 5.000 1 1.000 6.64018 3.022E+05 1.020E+12 2.964E-07 9.988E-09
309 5.000 1 1.000 6.33527 3.294E+05 2.229E+11 1.478E-06 9.914E-09
295 5.000 1 1.000 6.33864 3.134E+05 3.295E+11 9.512E-07 9.440E-09
331 5.000 1 1.000 6.30778 2.754E+05 2.730E+11 1.009E-06 8.215E-09
204 5.000 1 1.000 6.51803 2.434E+05 7.148E+11 3.405E-07 7.750E-09
79 5.000 1 1.000 7.92915 1.548E+05 9.028E+12 1.714E-08 7.294E-09
319 5.000 1 1.000 6.31621 2.322E+05 2.040E+11 1.138E-06 6.941E-09
