j g(j) i g(i) wl A A+A^a A/(A+A^a) f
13 2.000 1 2.000 6.85437 3.136E+13 7.575E+13 4.140E-01 2.209E-01
11 4.000 1 2.000 6.86449 1.479E+13 2.290E+14 6.457E-02 2.090E-01
14 4.000 1 2.000 6.85119 4.905E+12 7.738E+13 6.339E-02 6.905E-02
33 4.000 1 2.000 6.03445 5.480E+12 3.105E+13 1.765E-01 5.985E-02
15 2.000 1 2.000 6.82530 3.200E+12 1.501E+14 2.132E-02 2.235E-02
26 2.000 1 2.000 6.04708 3.030E+12 1.033E+13 2.934E-01 1.661E-02
79 4.000 1 2.000 5.82336 1.558E+12 1.653E+13 9.423E-02 1.584E-02
35 2.000 1 2.000 6.02587 2.326E+12 1.375E+13 1.691E-01 1.266E-02
47 2.000 1 2.000 6.00911 2.292E+12 1.242E+13 1.846E-01 1.241E-02
147 4.000 1 2.000 5.73495 9.453E+11 4.808E+12 1.966E-01 9.320E-03
76 4.000 1 2.000 5.82628 8.163E+11 5.308E+12 1.538E-01 8.310E-03
73 2.000 1 2.000 5.82749 1.574E+12 4.194E+12 3.752E-01 8.015E-03
49 4.000 1 2.000 6.00816 6.363E+11 1.241E+13 5.128E-02 6.885E-03
243 4.000 1 2.000 5.68787 6.670E+11 3.643E+12 1.831E-01 6.470E-03
25 4.000 1 2.000 6.04755 5.433E+11 1.190E+13 4.567E-02 5.960E-03
27 4.000 1 2.000 6.04538 4.533E+11 1.225E+13 3.701E-02 4.968E-03
121 2.000 1 2.000 5.79741 6.765E+11 5.328E+12 1.270E-01 3.410E-03
81 2.000 1 2.000 5.81894 6.500E+11 9.847E+12 6.601E-02 3.300E-03
119 4.000 1 2.000 5.79829 3.058E+11 1.304E+13 2.344E-02 3.082E-03
338 4.000 1 2.000 5.65997 3.143E+11 4.142E+12 7.588E-02 3.020E-03
331 4.000 1 2.000 5.66069 2.890E+11 1.317E+12 2.195E-01 2.778E-03
145 2.000 1 2.000 5.73589 5.460E+11 2.416E+12 2.260E-01 2.693E-03
146 2.000 1 2.000 5.73549 5.360E+11 2.839E+12 1.888E-01 2.642E-03
151 4.000 1 2.000 5.73336 2.590E+11 6.002E+12 4.315E-02 2.553E-03
242 2.000 1 2.000 5.68815 5.035E+11 1.712E+12 2.940E-01 2.443E-03
122 4.000 1 2.000 5.79706 2.219E+11 5.355E+12 4.143E-02 2.236E-03
43 4.000 1 2.000 6.01261 1.953E+11 4.359E+13 4.480E-03 2.117E-03
