j g(j) i g(i) wl A A^a A/A^a f
322 4.000 1 2.000 11.9586 3.612E+02 8.776E+11 4.115E-10 1.549E-11
136 2.000 1 2.000 12.0941 3.981E+02 2.497E+12 1.594E-10 8.730E-12
210 4.000 1 2.000 12.0078 1.743E+02 1.451E+12 1.202E-10 7.535E-12
324 6.000 1 2.000 11.9567 8.797E+01 8.500E+11 1.035E-10 5.655E-12
209 2.000 1 2.000 12.0088 2.256E+02 1.372E+12 1.644E-10 4.877E-12
31 2.000 1 2.000 12.5863 1.644E+02 1.269E+13 1.295E-11 3.905E-12
282 6.000 1 2.000 11.9865 5.135E+01 8.642E+09 5.942E-09 3.318E-12
321 2.000 1 2.000 11.9595 1.448E+02 8.719E+11 1.661E-10 3.106E-12
211 6.000 1 2.000 12.0059 4.022E+01 1.382E+12 2.910E-11 2.607E-12
178 6.000 1 2.000 12.0585 3.870E+01 5.596E+09 6.915E-09 2.531E-12
393 6.000 1 2.000 11.9448 3.785E+01 6.772E+09 5.589E-09 2.429E-12
346 6.000 1 2.000 11.9480 3.483E+01 1.506E+10 2.312E-09 2.237E-12
197 6.000 1 2.000 12.0562 3.283E+01 1.249E+10 2.629E-09 2.147E-12
318 6.000 1 2.000 11.9788 3.208E+01 1.249E+10 2.568E-09 2.071E-12
365 6.000 1 2.000 11.9468 2.845E+01 1.309E+10 2.174E-09 1.826E-12
456 6.000 1 2.000 11.9101 2.638E+01 7.996E+09 3.300E-09 1.684E-12
412 6.000 1 2.000 11.9447 2.592E+01 2.091E+09 1.239E-08 1.663E-12
493 6.000 1 2.000 11.8691 2.582E+01 5.879E+09 4.391E-09 1.636E-12
117 2.000 1 2.000 12.1771 7.110E+01 4.618E+12 1.540E-11 1.580E-12
260 6.000 1 2.000 11.9886 2.235E+01 1.011E+10 2.211E-09 1.445E-12
19 2.000 1 2.000 12.6548 4.832E+01 2.221E+13 2.175E-12 1.160E-12
244 6.000 1 2.000 11.9899 1.620E+01 9.114E+09 1.777E-09 1.047E-12
357 6.000 1 2.000 11.9472 1.500E+01 5.261E+09 2.851E-09 9.630E-13
114 6.000 1 2.000 12.1862 1.389E+01 2.060E+10 6.743E-10 9.280E-13
207 2.000 1 2.000 12.0124 4.022E+01 2.330E+12 1.726E-11 8.700E-13
199 6.000 1 2.000 12.0560 1.195E+01 5.512E+09 2.168E-09 7.815E-13
253 6.000 1 2.000 11.9891 1.147E+01 7.017E+09 1.634E-09 7.415E-13
135 6.000 1 2.000 12.1071 1.045E+01 2.016E+10 5.183E-10 6.890E-13
276 6.000 1 2.000 11.9868 9.177E+00 8.931E+09 1.028E-09 5.930E-13
111 6.000 1 2.000 12.1869 7.018E+00 2.598E+10 2.701E-10 4.689E-13
428 2.000 1 2.000 11.9288 2.107E+01 1.249E+12 1.688E-11 4.496E-13
138 6.000 1 2.000 12.0913 5.025E+00 2.483E+12 2.023E-12 3.304E-13
67 2.000 1 2.000 12.2527 1.294E+01 8.523E+12 1.518E-12 2.911E-13
459 2.000 1 2.000 11.8805 1.369E+01 8.066E+11 1.697E-11 2.897E-13
391 6.000 1 2.000 11.9450 4.352E+00 6.702E+09 6.493E-10 2.793E-13
171 6.000 1 2.000 12.0595 4.242E+00 1.156E+10 3.668E-10 2.775E-13
426 6.000 1 2.000 11.9445 3.723E+00 2.106E+09 1.768E-09 2.390E-13
205 6.000 1 2.000 12.0558 3.455E+00 5.480E+09 6.305E-10 2.259E-13
50 2.000 1 2.000 12.5032 6.515E+00 3.749E+11 1.738E-11 1.527E-13
66 6.000 1 2.000 12.2601 1.842E+00 5.166E+12 3.565E-13 1.245E-13
44 2.000 1 2.000 12.5110 5.020E+00 4.573E+11 1.098E-11 1.178E-13
204 4.000 1 2.000 12.0558 2.254E+00 5.486E+09 4.108E-10 9.821E-14
101 6.000 1 2.000 12.1912 1.247E+00 2.082E+10 5.991E-11 8.340E-14
88 2.000 1 2.000 12.2013 3.623E+00 2.232E+11 1.623E-11 8.090E-14
168 6.000 1 2.000 12.0601 1.180E+00 1.191E+10 9.912E-11 7.720E-14
181 6.000 1 2.000 12.0585 1.095E+00 1.267E+10 8.642E-11 7.160E-14
