                 wl             A       A+Aa         f
  503    1    16.9848      3.089E+08  3.561E+14  1.782E-05
  444    1    17.2066      5.970E+08  3.002E+14  1.767E-05
  496    1    17.0024      3.822E+08  3.075E+14  1.656E-05
  468    1    17.1247      3.715E+08  3.465E+14  1.089E-05
  382    1    17.3456      1.146E+08  2.701E+14  6.890E-06
  519    1    16.9238      2.330E+08  3.956E+14  6.668E-06
  517    1    16.9339      1.191E+08  3.592E+14  5.122E-06
  526    1    16.9019      1.100E+08  3.108E+14  4.712E-06
  536    1    16.8299      5.839E+07  4.086E+14  3.307E-06
  425    1    17.2582      1.012E+08  4.187E+14  3.013E-06
  434    1    17.2312      6.242E+07  2.433E+14  1.853E-06
  535    1    16.8313      4.225E+07  3.953E+14  1.196E-06
  453    1    17.1907      3.985E+07  3.001E+14  1.177E-06
  457    1    17.1794      1.521E+07  3.226E+14  8.972E-07
  520    1    16.9176      2.902E+07  3.794E+14  8.302E-07
  406    1    17.2972      2.032E+07  3.821E+14  6.075E-07
  464    1    17.1538      1.382E+07  3.449E+14  4.067E-07
  532    1    16.8554      7.795E+06  3.593E+14  2.213E-07
  537    1    16.7847      4.043E+06  3.041E+14  1.708E-07
  492    1    17.0218      5.582E+06  2.632E+14  1.617E-07
  538    1    16.7658      7.452E+02  3.670E+14  2.093E-11
