j g(j) i g(i) wl A A^a A/A^a f
307 3.000 1 1.000 21.0339 1.603E-01 1.846E+12 8.683E-14 3.189E-14
1062 3.000 1 1.000 20.7628 1.375E-01 9.415E+11 1.460E-13 2.665E-14
417 5.000 1 1.000 21.0060 7.708E-02 7.005E+08 1.100E-10 2.550E-14
403 5.000 1 1.000 21.0062 5.972E-02 4.272E+08 1.398E-10 1.976E-14
27 5.000 1 1.000 21.7128 5.554E-02 7.132E+12 7.787E-15 1.963E-14
396 5.000 1 1.000 21.0075 5.132E-02 1.052E+09 4.880E-11 1.698E-14
190 5.000 1 1.000 21.1581 4.288E-02 1.217E+09 3.522E-11 1.439E-14
78 5.000 1 1.000 21.3704 3.434E-02 1.452E+13 2.365E-15 1.176E-14
772 5.000 1 1.000 20.8302 3.264E-02 6.378E+10 5.117E-13 1.062E-14
56 3.000 1 1.000 21.4140 4.567E-02 2.636E+10 1.732E-12 9.416E-15
782 5.000 1 1.000 20.8293 2.862E-02 8.527E+10 3.356E-13 9.305E-15
760 5.000 1 1.000 20.8318 2.240E-02 5.115E+12 4.380E-15 7.285E-15
608 5.000 1 1.000 20.9641 2.052E-02 1.298E+09 1.581E-11 6.758E-15
694 5.000 1 1.000 20.8662 1.819E-02 2.664E+11 6.827E-14 5.937E-15
689 3.000 1 1.000 20.8676 2.802E-02 2.977E+12 9.413E-15 5.489E-15
498 3.000 1 1.000 20.9758 2.767E-02 1.297E+10 2.133E-12 5.477E-15
140 3.000 1 1.000 21.1775 2.562E-02 1.491E+10 1.719E-12 5.169E-15
229 3.000 1 1.000 21.0704 1.511E-02 8.657E+09 1.746E-12 3.018E-15
599 3.000 1 1.000 20.9660 1.511E-02 3.199E+10 4.724E-13 2.988E-15
851 5.000 1 1.000 20.8129 8.602E-03 1.818E+11 4.731E-14 2.793E-15
198 3.000 1 1.000 21.1523 1.360E-02 2.288E+11 5.944E-14 2.737E-15
183 3.000 1 1.000 21.1598 1.358E-02 9.833E+10 1.381E-13 2.735E-15
193 5.000 1 1.000 21.1577 8.148E-03 1.208E+09 6.747E-12 2.734E-15
138 3.000 1 1.000 21.1860 1.353E-02 4.417E+10 3.064E-13 2.732E-15
71 3.000 1 1.000 21.3968 1.200E-02 5.345E+10 2.245E-13 2.471E-15
97 3.000 1 1.000 21.3116 1.154E-02 8.310E+12 1.389E-15 2.357E-15
627 3.000 1 1.000 20.9393 1.152E-02 4.695E+10 2.453E-13 2.271E-15
358 5.000 1 1.000 21.0087 6.748E-03 4.396E+08 1.535E-11 2.233E-15
1084 3.000 1 1.000 20.7477 1.095E-02 1.091E+12 1.003E-14 2.120E-15
762 5.000 1 1.000 20.8317 6.424E-03 3.746E+11 1.715E-14 2.089E-15
159 3.000 1 1.000 21.1681 1.032E-02 2.955E+10 3.492E-13 2.080E-15
751 3.000 1 1.000 20.8373 1.049E-02 6.423E+12 1.634E-15 2.049E-15
629 3.000 1 1.000 20.9370 1.023E-02 1.600E+11 6.393E-14 2.017E-15
245 3.000 1 1.000 21.0645 1.005E-02 1.686E+10 5.964E-13 2.006E-15
357 3.000 1 1.000 21.0090 9.770E-03 1.147E+10 8.519E-13 1.939E-15
101 5.000 1 1.000 21.2784 5.592E-03 2.387E+12 2.342E-15 1.898E-15
652 5.000 1 1.000 20.8992 5.196E-03 2.424E+12 2.144E-15 1.701E-15
336 3.000 1 1.000 21.0134 8.450E-03 5.460E+09 1.548E-12 1.678E-15
934 3.000 1 1.000 20.7818 8.603E-03 4.461E+12 1.929E-15 1.671E-15
