j g(j) i g(i) wl A A^a A/A^a f
526 6.000 1 4.000 12.9228 1.293E-02 1.513E+11 8.544E-14 4.855E-16
1247 2.000 1 4.000 12.8160 3.763E-02 1.133E+12 3.320E-14 4.634E-16
945 8.000 1 4.000 12.8607 9.296E-03 4.830E+09 1.925E-12 4.610E-16
583 6.000 1 4.000 12.9179 1.218E-02 4.728E+08 2.576E-11 4.570E-16
1192 8.000 1 4.000 12.8258 9.244E-03 6.614E+10 1.398E-13 4.560E-16
1019 8.000 1 4.000 12.8606 8.506E-03 2.270E+09 3.747E-12 4.220E-16
69 8.000 1 4.000 13.2463 7.562E-03 1.840E+13 4.110E-16 3.978E-16
1010 6.000 1 4.000 12.8606 1.066E-02 8.917E+06 1.195E-09 3.963E-16
1470 6.000 1 4.000 12.7867 1.070E-02 9.402E+09 1.138E-12 3.935E-16
692 8.000 1 4.000 12.8849 7.358E-03 5.802E+10 1.268E-13 3.662E-16
1370 6.000 1 4.000 12.8045 9.215E-03 9.243E+08 9.970E-12 3.398E-16
1286 6.000 1 4.000 12.8079 9.063E-03 5.730E+06 1.582E-09 3.343E-16
1296 6.000 1 4.000 12.8079 8.597E-03 1.127E+08 7.626E-11 3.170E-16
1512 4.000 1 4.000 12.7422 1.229E-02 2.715E+12 4.524E-15 2.990E-16
242 8.000 1 4.000 13.0302 5.769E-03 5.676E+12 1.016E-15 2.937E-16
589 6.000 1 4.000 12.9178 7.232E-03 2.667E+08 2.711E-11 2.715E-16
1462 6.000 1 4.000 12.7867 7.252E-03 2.283E+09 3.176E-12 2.668E-16
322 6.000 1 4.000 12.9936 6.735E-03 2.672E+11 2.520E-14 2.558E-16
1511 2.000 1 4.000 12.7422 2.051E-02 3.119E+12 6.577E-15 2.497E-16
903 8.000 1 4.000 12.8613 4.995E-03 8.999E+10 5.550E-14 2.478E-16
1351 6.000 1 4.000 12.8045 6.615E-03 2.638E+10 2.507E-13 2.439E-16
1302 6.000 1 4.000 12.8079 6.185E-03 6.176E+06 1.001E-09 2.282E-16
1223 6.000 1 4.000 12.8257 5.880E-03 1.533E+09 3.836E-12 2.175E-16
1232 8.000 1 4.000 12.8257 4.250E-03 6.720E+10 6.324E-14 2.096E-16
759 8.000 1 4.000 12.8821 3.966E-03 1.038E+10 3.819E-13 1.973E-16
651 8.000 1 4.000 12.8946 3.955E-03 7.209E+11 5.487E-15 1.972E-16
569 8.000 1 4.000 12.9179 3.590E-03 1.822E+10 1.970E-13 1.796E-16
1289 8.000 1 4.000 12.8079 3.547E-03 8.512E+07 4.168E-11 1.745E-16
915 8.000 1 4.000 12.8611 3.129E-03 5.927E+10 5.279E-14 1.551E-16
727 8.000 1 4.000 12.8822 2.954E-03 1.158E+10 2.550E-13 1.470E-16
1431 8.000 1 4.000 12.7873 2.919E-03 1.067E+11 2.736E-14 1.431E-16
474 8.000 1 4.000 12.9399 2.785E-03 2.678E+12 1.040E-15 1.398E-16
1011 4.000 1 4.000 12.8606 5.243E-03 1.890E+06 2.774E-09 1.300E-16
1209 6.000 1 4.000 12.8257 3.418E-03 3.592E+10 9.516E-14 1.265E-16
246 8.000 1 4.000 13.0264 2.309E-03 6.731E+12 3.430E-16 1.175E-16
1224 8.000 1 4.000 12.8257 2.371E-03 7.317E+08 3.241E-12 1.170E-16
1292 4.000 1 4.000 12.8079 4.398E-03 1.117E+08 3.936E-11 1.082E-16
456 8.000 1 4.000 12.9530 1.762E-03 6.150E+12 2.866E-16 8.865E-17
656 8.000 1 4.000 12.8944 1.716E-03 1.556E+12 1.103E-15 8.555E-17
859 8.000 1 4.000 12.8644 1.505E-03 2.771E+12 5.432E-16 7.470E-17
239 8.000 1 4.000 13.0311 1.464E-03 2.819E+12 5.192E-16 7.453E-17
918 8.000 1 4.000 12.8611 1.432E-03 1.472E+10 9.730E-14 7.105E-17
1371 8.000 1 4.000 12.8045 1.325E-03 4.582E+08 2.892E-12 6.515E-17
361 8.000 1 4.000 12.9844 1.116E-03 1.113E+08 1.003E-11 5.642E-17
919 8.000 1 4.000 12.8611 1.115E-03 3.747E+10 2.974E-14 5.528E-17
477 8.000 1 4.000 12.9380 9.532E-04 3.041E+12 3.134E-16 4.785E-17
1208 6.000 1 4.000 12.8257 1.265E-03 2.852E+10 4.435E-14 4.680E-17
574 8.000 1 4.000 12.9179 9.084E-04 4.607E+10 1.972E-14 4.545E-17
1242 8.000 1 4.000 12.8197 9.053E-04 1.604E+12 5.644E-16 4.460E-17
823 8.000 1 4.000 12.8683 8.557E-04 5.481E+11 1.561E-15 4.250E-17
826 8.000 1 4.000 12.8682 8.096E-04 9.251E+11 8.752E-16 4.020E-17
659 8.000 1 4.000 12.8933 7.895E-04 1.850E+12 4.267E-16 3.935E-17
