j g(j) i g(i) wl A A+A^a A/(A+A^a) f
38 3.000 1 1.000 10.3741 2.599E+13 3.080E+13 8.436E-01 1.258E+00
57 3.000 1 1.000 10.1172 5.830E+12 7.752E+12 7.521E-01 2.684E-01
248 3.000 1 1.000 7.98101 8.697E+12 1.242E+13 7.005E-01 2.492E-01
282 3.000 1 1.000 7.74986 4.330E+12 5.479E+12 7.903E-01 1.170E-01
463 3.000 1 1.000 7.21496 4.063E+12 6.458E+12 6.291E-01 9.516E-02
54 3.000 1 1.000 10.1597 1.295E+12 5.714E+12 2.266E-01 6.011E-02
590 3.000 1 1.000 7.00527 2.443E+12 3.435E+12 7.112E-01 5.392E-02
22 3.000 1 1.000 10.9717 8.990E+11 3.213E+12 2.798E-01 4.868E-02
60 3.000 1 1.000 10.0720 1.062E+12 6.349E+12 1.673E-01 4.848E-02
116 3.000 1 1.000 9.63766 1.141E+12 3.206E+12 3.559E-01 4.767E-02
90 3.000 1 1.000 9.78390 7.677E+11 4.827E+12 1.590E-01 3.305E-02
72 3.000 1 1.000 9.96123 6.737E+11 8.686E+12 7.755E-02 3.006E-02
48 3.000 1 1.000 10.2264 5.823E+11 8.666E+12 6.720E-02 2.739E-02
374 3.000 1 1.000 7.45891 8.270E+11 3.099E+12 2.668E-01 2.069E-02
114 3.000 1 1.000 9.66777 3.873E+11 4.659E+12 8.313E-02 1.628E-02
368 3.000 1 1.000 7.47175 4.770E+11 2.919E+12 1.634E-01 1.198E-02
279 3.000 1 1.000 7.77375 4.227E+11 1.829E+12 2.310E-01 1.149E-02
238 3.000 1 1.000 8.11481 3.019E+11 1.990E+12 1.517E-01 8.942E-03
786 3.000 1 1.000 6.76511 4.307E+11 2.064E+12 2.086E-01 8.865E-03
107 3.000 1 1.000 9.70574 1.958E+11 3.186E+12 6.145E-02 8.296E-03
195 3.000 1 1.000 8.99375 1.955E+11 8.950E+12 2.185E-02 7.114E-03
150 3.000 1 1.000 9.35328 1.637E+11 4.283E+12 3.821E-02 6.440E-03
266 3.000 1 1.000 7.86752 2.255E+11 1.143E+13 1.972E-02 6.277E-03
50 3.000 1 1.000 10.2133 1.139E+11 1.601E+13 7.111E-03 5.343E-03
764 3.000 1 1.000 6.77107 2.450E+11 1.825E+12 1.342E-01 5.052E-03
588 3.000 1 1.000 7.01534 2.116E+11 1.287E+12 1.644E-01 4.684E-03
213 3.000 1 1.000 8.86162 1.235E+11 1.162E+13 1.063E-02 4.362E-03
514 3.000 1 1.000 7.12663 1.617E+11 6.109E+12 2.648E-02 3.694E-03
490 3.000 1 1.000 7.15238 1.562E+11 9.544E+12 1.637E-02 3.595E-03
205 3.000 1 1.000 8.91297 9.740E+10 9.623E+12 1.012E-02 3.480E-03
451 3.000 1 1.000 7.26780 1.165E+11 1.173E+12 9.932E-02 2.768E-03
284 3.000 1 1.000 7.72772 8.360E+10 2.111E+12 3.960E-02 2.246E-03
137 3.000 1 1.000 9.48885 5.063E+10 4.071E+12 1.244E-02 2.051E-03
418 3.000 1 1.000 7.36792 8.140E+10 3.750E+12 2.171E-02 1.987E-03
56 3.000 1 1.000 10.1457 4.157E+10 2.262E+13 1.838E-03 1.925E-03
149 3.000 1 1.000 9.40263 4.833E+10 2.493E+12 1.939E-02 1.921E-03
307 3.000 1 1.000 7.65999 7.250E+10 5.102E+12 1.421E-02 1.913E-03
348 3.000 1 1.000 7.53234 6.573E+10 2.365E+12 2.779E-02 1.678E-03
863 3.000 1 1.000 6.53650 6.293E+10 6.539E+12 9.625E-03 1.210E-03
126 3.000 1 1.000 9.52232 2.592E+10 6.015E+12 4.309E-03 1.057E-03
83 5.000 1 1.000 9.86067 1.419E+10 1.176E+13 1.207E-03 1.034E-03
24 3.000 1 1.000 10.7608 1.850E+10 4.236E+12 4.367E-03 9.634E-04
806 3.000 1 1.000 6.68936 4.527E+10 2.616E+12 1.731E-02 9.113E-04
548 3.000 1 1.000 7.06959 3.760E+10 5.661E+12 6.642E-03 8.450E-04
416 3.000 1 1.000 7.37669 3.433E+10 3.735E+12 9.192E-03 8.400E-04
129 3.000 1 1.000 9.50986 2.012E+10 5.624E+12 3.578E-03 8.185E-04
161 3.000 1 1.000 9.27492 1.423E+10 2.719E+12 5.234E-03 5.506E-04
540 3.000 1 1.000 7.08640 2.437E+10 4.755E+12 5.124E-03 5.503E-04
903 3.000 1 1.000 6.46844 2.114E+10 5.439E+12 3.887E-03 3.979E-04
804 3.000 1 1.000 6.69301 1.966E+10 2.206E+12 8.911E-03 3.961E-04
290 3.000 1 1.000 7.70820 1.453E+10 4.009E+12 3.624E-03 3.882E-04
609 3.000 1 1.000 6.97647 1.629E+10 1.211E+13 1.345E-03 3.565E-04
250 5.000 1 1.000 7.95395 7.514E+09 4.106E+12 1.830E-03 3.564E-04
176 3.000 1 1.000 9.10981 9.513E+09 3.030E+12 3.140E-03 3.551E-04
712 3.000 1 1.000 6.82184 1.484E+10 1.563E+12 9.494E-03 3.106E-04
661 3.000 1 1.000 6.93175 1.433E+10 3.122E+12 4.590E-03 3.098E-04
744 3.000 1 1.000 6.78671 1.370E+10 2.326E+12 5.892E-03 2.839E-04
476 3.000 1 1.000 7.18145 1.171E+10 1.361E+12 8.599E-03 2.715E-04
147 5.000 1 1.000 9.42179 3.442E+09 1.349E+13 2.551E-04 2.290E-04
228 3.000 1 1.000 8.71412 6.643E+09 2.776E+13 2.393E-04 2.269E-04
466 5.000 1 1.000 7.20399 5.522E+09 2.276E+12 2.426E-03 2.149E-04
218 3.000 1 1.000 8.83978 5.920E+09 2.031E+13 2.915E-04 2.080E-04
893 3.000 1 1.000 6.47456 1.052E+10 2.785E+12 3.778E-03 1.984E-04
294 5.000 1 1.000 7.69023 4.282E+09 9.973E+12 4.294E-04 1.898E-04
339 3.000 1 1.000 7.58765 7.057E+09 4.156E+12 1.698E-03 1.827E-04
111 5.000 1 1.000 9.69453 2.540E+09 1.610E+13 1.578E-04 1.790E-04
27 5.000 1 1.000 10.6609 2.064E+09 6.386E+10 3.232E-02 1.758E-04
244 3.000 1 1.000 8.00578 5.830E+09 2.377E+12 2.453E-03 1.680E-04
545 3.000 1 1.000 7.07803 7.130E+09 5.058E+12 1.410E-03 1.607E-04
783 3.000 1 1.000 6.76719 7.757E+09 2.334E+12 3.323E-03 1.598E-04
81 5.000 1 1.000 9.88225 1.783E+09 7.799E+12 2.286E-04 1.305E-04
353 3.000 1 1.000 7.52011 4.920E+09 2.181E+12 2.256E-03 1.251E-04
143 5.000 1 1.000 9.44116 1.845E+09 1.791E+13 1.030E-04 1.232E-04
452 3.000 1 1.000 7.25506 4.163E+09 2.608E+12 1.596E-03 9.859E-05
690 3.000 1 1.000 6.90233 4.487E+09 2.436E+12 1.842E-03 9.613E-05
773 3.000 1 1.000 6.76916 4.223E+09 2.285E+12 1.848E-03 8.701E-05
966 3.000 1 1.000 6.38687 4.543E+09 6.530E+12 6.958E-04 8.339E-05
441 3.000 1 1.000 7.28746 3.467E+09 4.218E+12 8.218E-04 8.280E-05
87 5.000 1 1.000 9.81797 1.067E+09 1.150E+13 9.279E-05 7.713E-05
403 3.000 1 1.000 7.42044 3.018E+09 4.160E+12 7.254E-04 7.474E-05
141 5.000 1 1.000 9.45947 1.090E+09 2.385E+13 4.569E-05 7.310E-05
119 5.000 1 1.000 9.55346 9.948E+08 2.551E+13 3.899E-05 6.807E-05
607 3.000 1 1.000 6.97722 3.036E+09 1.354E+12 2.242E-03 6.648E-05
602 5.000 1 1.000 6.98155 1.583E+09 6.255E+12 2.531E-04 5.785E-05
508 3.000 1 1.000 7.13258 2.424E+09 5.356E+12 4.526E-04 5.547E-05
715 3.000 1 1.000 6.81691 2.124E+09 1.536E+12 1.383E-03 4.440E-05
850 3.000 1 1.000 6.57988 2.231E+09 1.692E+12 1.319E-03 4.345E-05
236 3.000 1 1.000 8.58338 1.224E+09 4.405E+13 2.779E-05 4.056E-05
881 3.000 1 1.000 6.51253 2.114E+09 1.040E+12 2.033E-03 4.033E-05
242 5.000 1 1.000 8.04158 7.990E+08 1.024E+12 7.801E-04 3.873E-05
424 3.000 1 1.000 7.34319 1.499E+09 1.939E+12 7.732E-04 3.636E-05
668 3.000 1 1.000 6.91890 1.688E+09 1.919E+13 8.793E-05 3.634E-05
410 5.000 1 1.000 7.40853 8.216E+08 8.272E+12 9.932E-05 3.381E-05
386 3.000 1 1.000 7.44555 1.287E+09 4.164E+12 3.091E-04 3.209E-05
222 3.000 1 1.000 8.81785 8.917E+08 3.111E+13 2.867E-05 3.118E-05
726 3.000 1 1.000 6.79809 1.492E+09 3.211E+12 4.646E-04 3.100E-05
183 3.000 1 1.000 9.07367 8.310E+08 7.560E+11 1.099E-03 3.078E-05
262 3.000 1 1.000 7.88242 1.066E+09 1.007E+13 1.059E-04 2.979E-05
407 5.000 1 1.000 7.41650 6.710E+08 6.349E+12 1.057E-04 2.767E-05
191 3.000 1 1.000 9.02036 7.030E+08 4.403E+12 1.596E-04 2.573E-05
359 3.000 1 1.000 7.49826 9.990E+08 5.057E+12 1.976E-04 2.527E-05
812 3.000 1 1.000 6.67457 1.219E+09 1.388E+12 8.780E-04 2.442E-05
833 3.000 1 1.000 6.65193 1.151E+09 2.295E+12 5.014E-04 2.291E-05
274 5.000 1 1.000 7.84603 3.806E+08 4.138E+12 9.198E-05 1.756E-05
157 5.000 1 1.000 9.28207 2.594E+08 1.915E+13 1.355E-05 1.675E-05
70 5.000 1 1.000 9.96917 2.060E+08 1.762E+12 1.169E-04 1.535E-05
456 5.000 1 1.000 7.23853 3.652E+08 9.245E+11 3.950E-04 1.434E-05
318 3.000 1 1.000 7.63014 5.017E+08 4.152E+12 1.208E-04 1.314E-05
526 5.000 1 1.000 7.11777 3.000E+08 2.268E+12 1.323E-04 1.139E-05
65 5.000 1 1.000 10.0100 1.490E+08 3.860E+12 3.860E-05 1.119E-05
992 3.000 1 1.000 6.34420 5.903E+08 1.067E+13 5.532E-05 1.069E-05
790 5.000 1 1.000 6.74513 2.738E+08 5.366E+12 5.102E-05 9.340E-06
160 5.000 1 1.000 9.27644 1.410E+08 4.358E+12 3.235E-05 9.094E-06
808 3.000 1 1.000 6.68338 4.403E+08 2.145E+12 2.052E-04 8.844E-06
617 3.000 1 1.000 6.96858 3.807E+08 2.660E+12 1.431E-04 8.311E-06
644 3.000 1 1.000 6.93816 3.607E+08 2.336E+12 1.544E-04 7.806E-06
135 5.000 1 1.000 9.49430 1.109E+08 2.461E+13 4.506E-06 7.493E-06
124 5.000 1 1.000 9.53071 1.016E+08 2.902E+13 3.501E-06 6.918E-06
788 5.000 1 1.000 6.74846 1.887E+08 3.511E+12 5.375E-05 6.443E-06
480 3.000 1 1.000 7.17472 2.735E+08 2.336E+12 1.171E-04 6.333E-06
254 5.000 1 1.000 7.94756 1.192E+08 1.115E+12 1.068E-04 5.642E-06
428 5.000 1 1.000 7.31825 1.182E+08 4.986E+12 2.370E-05 4.744E-06
31 5.000 1 1.000 10.5061 5.700E+07 2.414E+11 2.362E-04 4.716E-06
400 3.000 1 1.000 7.42475 1.820E+08 4.183E+12 4.351E-05 4.512E-06
563 3.000 1 1.000 7.05540 1.492E+08 9.147E+12 1.631E-05 3.341E-06
329 5.000 1 1.000 7.60104 7.340E+07 1.005E+13 7.304E-06 3.179E-06
502 5.000 1 1.000 7.14238 8.054E+07 3.944E+12 2.042E-05 3.080E-06
269 5.000 1 1.000 7.85211 6.472E+07 4.167E+12 1.553E-05 2.991E-06
858 3.000 1 1.000 6.54612 1.533E+08 1.682E+12 9.116E-05 2.955E-06
289 5.000 1 1.000 7.71498 6.494E+07 3.302E+12 1.967E-05 2.897E-06
91 5.000 1 1.000 9.78333 3.914E+07 3.076E+13 1.273E-06 2.809E-06
406 5.000 1 1.000 7.41700 6.080E+07 1.903E+12 3.195E-05 2.507E-06
332 3.000 1 1.000 7.59094 9.373E+07 4.158E+12 2.254E-05 2.429E-06
52 5.000 1 1.000 10.1831 2.800E+07 3.412E+12 8.207E-06 2.177E-06
517 5.000 1 1.000 7.12030 5.564E+07 2.262E+12 2.459E-05 2.114E-06
963 3.000 1 1.000 6.38955 1.092E+08 1.556E+12 7.016E-05 2.005E-06
874 5.000 1 1.000 6.53247 5.826E+07 2.176E+12 2.677E-05 1.864E-06
177 5.000 1 1.000 9.09719 2.990E+07 4.418E+12 6.768E-06 1.855E-06
305 5.000 1 1.000 7.66642 3.322E+07 5.771E+12 5.757E-06 1.464E-06
927 3.000 1 1.000 6.45147 7.550E+07 4.943E+12 1.527E-05 1.414E-06
560 5.000 1 1.000 7.05708 3.444E+07 4.100E+12 8.399E-06 1.286E-06
362 5.000 1 1.000 7.48087 3.040E+07 1.083E+13 2.806E-06 1.276E-06
816 5.000 1 1.000 6.66924 3.798E+07 3.032E+12 1.253E-05 1.266E-06
103 5.000 1 1.000 9.72257 1.614E+07 3.360E+12 4.805E-06 1.144E-06
171 5.000 1 1.000 9.18234 1.808E+07 2.934E+13 6.163E-07 1.143E-06
174 5.000 1 1.000 9.12116 1.729E+07 4.112E+12 4.205E-06 1.078E-06
983 3.000 1 1.000 6.35349 5.283E+07 4.727E+12 1.118E-05 9.592E-07
594 5.000 1 1.000 6.99164 2.222E+07 2.217E+12 1.002E-05 8.139E-07
170 5.000 1 1.000 9.20098 1.029E+07 2.045E+13 5.033E-07 6.533E-07
564 3.000 1 1.000 7.04831 2.862E+07 1.306E+13 2.192E-06 6.396E-07
918 5.000 1 1.000 6.46227 1.992E+07 2.278E+12 8.748E-06 6.237E-07
37 5.000 1 1.000 10.3933 7.414E+06 2.008E+13 3.691E-07 6.003E-07
552 5.000 1 1.000 7.06275 1.575E+07 4.146E+12 3.800E-06 5.891E-07
310 5.000 1 1.000 7.65153 1.306E+07 8.395E+12 1.556E-06 5.733E-07
102 3.000 1 1.000 9.72507 1.213E+07 5.303E+12 2.287E-06 5.160E-07
622 5.000 1 1.000 6.96242 1.262E+07 4.054E+12 3.112E-06 4.585E-07
637 3.000 1 1.000 6.94134 2.105E+07 8.586E+12 2.451E-06 4.561E-07
685 3.000 1 1.000 6.90418 2.045E+07 2.209E+12 9.258E-06 4.384E-07
367 5.000 1 1.000 7.47265 1.002E+07 1.116E+13 8.977E-07 4.193E-07
681 5.000 1 1.000 6.90806 1.160E+07 5.734E+12 2.023E-06 4.150E-07
342 5.000 1 1.000 7.58562 8.924E+06 1.293E+12 6.901E-06 3.849E-07
472 5.000 1 1.000 7.20124 9.640E+06 4.520E+12 2.133E-06 3.748E-07
232 3.000 1 1.000 8.68221 1.026E+07 2.434E+13 4.215E-07 3.478E-07
906 5.000 1 1.000 6.46478 1.035E+07 2.231E+12 4.641E-06 3.244E-07
969 5.000 1 1.000 6.38104 1.060E+07 2.215E+12 4.785E-06 3.235E-07
491 5.000 1 1.000 7.15113 6.930E+06 9.737E+11 7.118E-06 2.656E-07
202 5.000 1 1.000 8.91920 4.192E+06 4.384E+12 9.563E-07 2.500E-07
53 5.000 1 1.000 10.1711 3.030E+06 5.674E+10 5.340E-05 2.350E-07
722 5.000 1 1.000 6.80110 6.686E+06 5.739E+12 1.165E-06 2.318E-07
440 5.000 1 1.000 7.29376 5.740E+06 1.679E+13 3.419E-07 2.289E-07
246 5.000 1 1.000 7.98463 3.772E+06 9.108E+12 4.142E-07 1.803E-07
478 3.000 1 1.000 7.17804 7.713E+06 1.956E+12 3.944E-06 1.788E-07
583 3.000 1 1.000 7.02725 7.280E+06 1.918E+12 3.795E-06 1.617E-07
35 5.000 1 1.000 10.4240 1.912E+06 2.279E+11 8.392E-06 1.558E-07
286 5.000 1 1.000 7.71835 3.404E+06 2.299E+12 1.481E-06 1.520E-07
427 5.000 1 1.000 7.32278 3.750E+06 9.207E+12 4.073E-07 1.508E-07
281 5.000 1 1.000 7.75964 3.184E+06 1.209E+12 2.634E-06 1.438E-07
495 5.000 1 1.000 7.14614 3.256E+06 4.126E+12 7.892E-07 1.246E-07
956 3.000 1 1.000 6.42817 6.127E+06 1.063E+12 5.766E-06 1.139E-07
162 5.000 1 1.000 9.26403 1.496E+06 9.532E+12 1.570E-07 9.626E-08
115 5.000 1 1.000 9.64543 1.248E+06 1.939E+12 6.437E-07 8.704E-08
460 5.000 1 1.000 7.21672 2.182E+06 5.207E+12 4.190E-07 8.520E-08
630 5.000 1 1.000 6.95247 2.310E+06 3.442E+12 6.711E-07 8.369E-08
747 5.000 1 1.000 6.78584 2.354E+06 1.260E+12 1.869E-06 8.123E-08
589 5.000 1 1.000 7.00954 2.154E+06 1.031E+12 2.090E-06 7.936E-08
154 5.000 1 1.000 9.29742 1.047E+06 2.194E+13 4.774E-08 6.786E-08
727 5.000 1 1.000 6.79761 1.803E+06 5.778E+12 3.121E-07 6.247E-08
506 5.000 1 1.000 7.13469 1.601E+06 3.948E+12 4.056E-07 6.109E-08
58 5.000 1 1.000 10.1094 7.828E+05 1.450E+12 5.398E-07 5.996E-08
914 5.000 1 1.000 6.46304 1.764E+06 2.910E+12 6.061E-07 5.522E-08
866 5.000 1 1.000 6.53445 1.536E+06 2.230E+12 6.888E-07 4.918E-08
371 5.000 1 1.000 7.46223 1.154E+06 2.200E+12 5.246E-07 4.817E-08
