j g(j) i g(i) wl A A+A^a A/(A+A^a) f
13 2.000 1 2.000 5.17621 5.815E+13 1.138E+14 5.109E-01 2.336E-01
11 4.000 1 2.000 5.18265 2.858E+13 2.509E+14 1.139E-01 2.302E-01
33 4.000 1 2.000 4.53204 9.860E+12 3.718E+13 2.652E-01 6.075E-02
14 4.000 1 2.000 5.17269 7.200E+12 1.172E+14 6.144E-02 5.775E-02
26 2.000 1 2.000 4.54016 5.785E+12 1.433E+13 4.037E-01 1.788E-02
15 2.000 1 2.000 5.15602 4.485E+12 1.697E+14 2.643E-02 1.787E-02
76 4.000 1 2.000 4.36524 2.480E+12 8.973E+12 2.763E-01 1.417E-02
35 2.000 1 2.000 4.52575 4.252E+12 2.000E+13 2.127E-01 1.306E-02
47 2.000 1 2.000 4.51503 3.736E+12 1.622E+13 2.303E-01 1.141E-02
147 4.000 1 2.000 4.29286 1.988E+12 6.866E+12 2.896E-01 1.099E-02
79 4.000 1 2.000 4.36339 1.855E+12 1.623E+13 1.143E-01 1.059E-02
27 4.000 1 2.000 4.53860 1.257E+12 1.488E+13 8.446E-02 7.760E-03
73 2.000 1 2.000 4.36637 2.435E+12 6.111E+12 3.984E-01 6.960E-03
48 4.000 1 2.000 4.51401 1.096E+12 1.685E+13 6.508E-02 6.695E-03
242 4.000 1 2.000 4.25533 1.190E+12 4.315E+12 2.758E-01 6.460E-03
25 4.000 1 2.000 4.54083 9.930E+11 1.481E+13 6.707E-02 6.140E-03
362 4.000 1 2.000 4.23325 7.683E+11 3.044E+12 2.524E-01 4.128E-03
146 2.000 1 2.000 4.29322 1.406E+12 3.708E+12 3.792E-01 3.885E-03
121 2.000 1 2.000 4.34619 1.074E+12 6.689E+12 1.606E-01 3.044E-03
74 2.000 1 2.000 4.36583 1.035E+12 6.643E+12 1.558E-01 2.958E-03
83 2.000 1 2.000 4.36019 9.855E+11 1.201E+13 8.202E-02 2.809E-03
119 4.000 1 2.000 4.34669 4.850E+11 1.511E+13 3.209E-02 2.749E-03
241 2.000 1 2.000 4.25549 1.009E+12 2.319E+12 4.351E-01 2.740E-03
72 4.000 1 2.000 4.36710 4.455E+11 6.250E+12 7.128E-02 2.548E-03
122 4.000 1 2.000 4.34583 4.050E+11 6.935E+12 5.840E-02 2.293E-03
361 2.000 1 2.000 4.23331 7.740E+11 1.715E+12 4.512E-01 2.080E-03
145 2.000 1 2.000 4.29355 6.585E+11 3.092E+12 2.130E-01 1.821E-03
209 4.000 1 2.000 4.27441 2.985E+11 6.989E+12 4.271E-02 1.636E-03
42 4.000 1 2.000 4.51713 2.603E+11 4.847E+13 5.369E-03 1.593E-03
143 4.000 1 2.000 4.29407 2.755E+11 3.154E+12 8.735E-02 1.523E-03
211 2.000 1 2.000 4.27422 4.764E+11 3.228E+12 1.476E-01 1.305E-03
323 4.000 1 2.000 4.23685 2.109E+11 3.638E+12 5.797E-02 1.136E-03
212 4.000 1 2.000 4.27405 1.939E+11 3.354E+12 5.782E-02 1.063E-03
123 2.000 1 2.000 4.34507 3.504E+11 1.096E+13 3.197E-02 9.920E-04
21 2.000 1 2.000 4.54492 2.756E+11 1.495E+13 1.844E-02 8.535E-04
152 4.000 1 2.000 4.29119 1.508E+11 5.578E+12 2.703E-02 8.325E-04
237 4.000 1 2.000 4.25607 1.484E+11 1.786E+12 8.307E-02 8.060E-04
239 2.000 1 2.000 4.25574 2.920E+11 1.813E+12 1.610E-01 7.930E-04
54 2.000 1 2.000 4.51160 2.404E+11 3.377E+13 7.120E-03 7.340E-04
336 4.000 1 2.000 4.23446 1.360E+11 1.547E+12 8.794E-02 7.315E-04
160 2.000 1 2.000 4.28960 2.548E+11 6.506E+12 3.916E-02 7.030E-04
236 4.000 1 2.000 4.25675 1.279E+11 2.116E+12 6.041E-02 6.945E-04
69 2.000 1 2.000 4.36893 2.235E+11 6.024E+12 3.710E-02 6.395E-04
461 4.000 1 2.000 4.21476 1.114E+11 2.521E+12 4.418E-02 5.935E-04
140 2.000 1 2.000 4.29519 2.041E+11 3.057E+12 6.676E-02 5.645E-04
326 4.000 1 2.000 4.23667 9.823E+10 1.976E+12 4.972E-02 5.285E-04
463 2.000 1 2.000 4.21470 1.984E+11 1.244E+12 1.594E-01 5.280E-04
325 2.000 1 2.000 4.23678 1.893E+11 1.855E+12 1.021E-01 5.095E-04
235 2.000 1 2.000 4.25701 1.846E+11 1.787E+12 1.033E-01 5.015E-04
341 4.000 1 2.000 4.23373 8.930E+10 1.150E+12 7.766E-02 4.800E-04
348 2.000 1 2.000 4.23351 1.708E+11 1.212E+12 1.410E-01 4.590E-04
335 2.000 1 2.000 4.23463 1.694E+11 1.177E+12 1.440E-01 4.554E-04
22 4.000 1 2.000 4.54412 6.753E+10 1.493E+13 4.523E-03 4.182E-04
327 2.000 1 2.000 4.23644 1.545E+11 2.696E+12 5.731E-02 4.158E-04
464 4.000 1 2.000 4.21464 7.658E+10 1.288E+12 5.946E-02 4.079E-04
8 2.000 1 2.000 5.21515 9.035E+10 1.250E+14 7.230E-04 3.684E-04
141 4.000 1 2.000 4.29477 5.675E+10 3.330E+12 1.704E-02 3.140E-04
28 2.000 1 2.000 4.53649 1.010E+11 1.578E+13 6.405E-03 3.118E-04
465 2.000 1 2.000 4.21449 7.580E+10 1.905E+12 3.978E-02 2.019E-04
267 2.000 1 2.000 4.25259 7.335E+10 3.698E+12 1.983E-02 1.989E-04
256 4.000 1 2.000 4.25347 1.785E+10 2.774E+12 6.435E-03 9.685E-05
409 2.000 1 2.000 4.23069 2.742E+10 2.744E+12 9.994E-03 7.360E-05
350 4.000 1 2.000 4.23349 9.335E+09 1.190E+11 7.845E-02 5.015E-05
51 6.000 1 2.000 4.51248 2.735E+09 2.795E+12 9.784E-04 2.505E-05
118 4.000 1 2.000 4.35148 3.955E+09 3.121E+11 1.267E-02 2.246E-05
