j g(j) i g(i) wl A A^a A/A^a f
8 3.000 1 1.000 13.8144 6.937E+12 8.245E+13 8.413E-02 5.953E-01
14 3.000 1 1.000 12.1749 1.883E+12 2.108E+12 8.930E-01 1.255E-01
24 3.000 1 1.000 11.7534 8.200E+11 8.897E+11 9.216E-01 5.095E-02
38 3.000 1 1.000 11.5742 4.427E+11 4.774E+11 9.273E-01 2.666E-02
56 3.000 1 1.000 11.4809 2.765E+11 2.966E+11 9.321E-01 1.639E-02
78 3.000 1 1.000 11.4259 2.023E+11 2.104E+11 9.615E-01 1.188E-02
6 3.000 1 1.000 13.9225 1.876E+09 1.328E+14 1.413E-05 1.636E-04
12 3.000 1 1.000 12.1954 4.723E+08 1.425E+13 3.314E-05 3.161E-05
18 5.000 1 1.000 12.1261 2.106E+08 1.402E+12 1.503E-04 2.321E-05
28 5.000 1 1.000 11.7370 1.188E+08 7.017E+11 1.693E-04 1.227E-05
22 3.000 1 1.000 11.7614 1.834E+08 5.691E+12 3.223E-05 1.141E-05
42 5.000 1 1.000 11.5668 6.826E+07 3.843E+11 1.776E-04 6.845E-06
36 3.000 1 1.000 11.5783 8.777E+07 2.641E+12 3.324E-05 5.292E-06
60 5.000 1 1.000 11.4769 4.216E+07 2.344E+11 1.799E-04 4.163E-06
54 3.000 1 1.000 11.4833 4.740E+07 1.551E+12 3.057E-05 2.812E-06
82 5.000 1 1.000 11.4237 2.800E+07 1.666E+11 1.681E-04 2.739E-06
76 3.000 1 1.000 11.4275 2.689E+07 9.988E+11 2.692E-05 1.579E-06
16 5.000 1 1.000 12.1267 4.700E+06 6.330E+11 7.425E-06 5.181E-07
7 5.000 1 1.000 13.9198 1.603E+06 1.323E+14 1.212E-08 2.329E-07
26 5.000 1 1.000 11.7373 1.716E+06 3.117E+11 5.504E-06 1.772E-07
40 5.000 1 1.000 11.5669 8.266E+05 1.717E+11 4.814E-06 8.291E-08
13 5.000 1 1.000 12.1949 5.180E+05 1.403E+13 3.691E-08 5.775E-08
58 5.000 1 1.000 11.4770 4.632E+05 1.056E+11 4.386E-06 4.574E-08
80 5.000 1 1.000 11.4237 2.860E+05 7.574E+10 3.776E-06 2.797E-08
23 5.000 1 1.000 11.7612 2.292E+05 5.780E+12 3.965E-08 2.376E-08
37 5.000 1 1.000 11.5782 1.214E+05 2.754E+12 4.409E-08 1.220E-08
55 5.000 1 1.000 11.4832 7.290E+04 1.565E+12 4.660E-08 7.207E-09
77 5.000 1 1.000 11.4275 4.880E+04 1.006E+12 4.849E-08 4.778E-09
9 3.000 1 1.000 12.2632 2.833E+03 1.735E+13 1.633E-10 1.916E-10
19 3.000 1 1.000 11.7858 1.218E+03 6.709E+12 1.816E-10 7.610E-11
33 3.000 1 1.000 11.5899 6.297E+02 3.284E+12 1.917E-10 3.805E-11
51 3.000 1 1.000 11.4898 3.670E+02 1.850E+12 1.984E-10 2.179E-11
73 3.000 1 1.000 11.4316 2.336E+02 1.150E+12 2.030E-10 1.373E-11
15 3.000 1 1.000 12.1267 1.563E+01 6.155E+11 2.540E-11 1.034E-12
25 3.000 1 1.000 11.7373 9.333E+00 3.061E+11 3.049E-11 5.783E-13
39 3.000 1 1.000 11.5669 5.500E+00 1.691E+11 3.252E-11 3.309E-13
57 3.000 1 1.000 11.4770 3.440E+00 1.042E+11 3.301E-11 2.038E-13
79 3.000 1 1.000 11.4237 2.296E+00 7.486E+10 3.067E-11 1.348E-13
29 5.000 1 1.000 11.7256 8.542E-05 3.680E+10 2.321E-15 8.804E-18
43 5.000 1 1.000 11.5613 7.564E-05 1.995E+10 3.791E-15 7.579E-18
61 5.000 1 1.000 11.4739 5.594E-05 1.203E+10 4.651E-15 5.520E-18
83 5.000 1 1.000 11.4218 4.052E-05 7.961E+09 5.090E-15 3.964E-18
