j g(j) i g(i) wl A A+A^a A/(A+A^a) f
15 3.000 1 1.000 9.34648 1.068E+13 1.094E+13 9.756E-01 4.195E-01
14 3.000 1 1.000 9.38577 6.120E+12 6.285E+12 9.738E-01 2.424E-01
52 3.000 1 1.000 7.06243 6.370E+12 7.823E+12 8.143E-01 1.429E-01
88 3.000 1 1.000 6.35278 3.490E+12 4.717E+12 7.398E-01 6.333E-02
50 3.000 1 1.000 7.07417 1.704E+12 3.112E+12 5.476E-01 3.836E-02
124 3.000 1 1.000 6.02559 2.107E+12 3.080E+12 6.843E-01 3.441E-02
46 3.000 1 1.000 8.66746 6.333E+11 2.825E+13 2.242E-02 2.140E-02
28 3.000 1 1.000 8.94968 5.850E+11 4.680E+12 1.250E-01 2.107E-02
144 3.000 1 1.000 5.84510 1.335E+12 2.123E+12 6.288E-01 2.051E-02
22 3.000 1 1.000 9.11326 4.617E+11 3.863E+12 1.195E-01 1.724E-02
86 3.000 1 1.000 6.35794 7.757E+11 1.932E+12 4.015E-01 1.410E-02
33 3.000 1 1.000 8.84947 2.226E+11 3.405E+13 6.537E-03 7.840E-03
122 3.000 1 1.000 6.02841 4.030E+11 1.267E+12 3.180E-01 6.588E-03
82 3.000 1 1.000 6.73629 2.872E+11 1.309E+13 2.194E-02 5.861E-03
142 3.000 1 1.000 5.84667 3.205E+11 1.046E+12 3.063E-01 4.928E-03
66 3.000 1 1.000 6.82662 1.624E+11 1.460E+13 1.112E-02 3.403E-03
118 3.000 1 1.000 6.10344 1.772E+11 6.964E+12 2.544E-02 2.968E-03
20 5.000 1 1.000 9.18932 3.290E+10 2.118E+13 1.554E-03 2.083E-03
102 3.000 1 1.000 6.17352 1.073E+11 7.601E+12 1.412E-02 1.839E-03
138 3.000 1 1.000 5.86865 9.023E+10 4.464E+12 2.021E-02 1.398E-03
164 3.000 1 1.000 5.80643 5.330E+10 4.151E+12 1.284E-02 8.084E-04
190 3.000 1 1.000 5.64096 4.943E+10 2.683E+12 1.842E-02 7.076E-04
174 3.000 1 1.000 5.69892 4.017E+10 2.874E+12 1.398E-02 5.867E-04
216 3.000 1 1.000 5.53847 3.443E+10 1.836E+12 1.875E-02 4.751E-04
150 3.000 1 1.000 5.82089 2.940E+10 1.190E+12 2.471E-02 4.481E-04
200 3.000 1 1.000 5.59400 3.015E+10 1.958E+12 1.540E-02 4.244E-04
252 3.000 1 1.000 5.47027 2.857E+10 1.321E+12 2.163E-02 3.845E-04
58 3.000 1 1.000 6.89049 1.793E+10 2.411E+12 7.435E-03 3.829E-04
68 3.000 1 1.000 6.80523 1.535E+10 2.844E+12 5.399E-03 3.198E-04
226 3.000 1 1.000 5.52428 2.315E+10 1.401E+12 1.653E-02 3.177E-04
41 3.000 1 1.000 8.72452 7.933E+09 2.544E+13 3.118E-04 2.716E-04
278 3.000 1 1.000 5.42256 1.934E+10 9.894E+11 1.955E-02 2.558E-04
56 5.000 1 1.000 7.03135 5.832E+09 1.112E+13 5.247E-04 2.161E-04
314 3.000 1 1.000 5.38776 1.574E+10 7.668E+11 2.053E-02 2.055E-04
236 3.000 1 1.000 5.47553 1.344E+10 1.058E+12 1.270E-02 1.812E-04
350 3.000 1 1.000 5.36160 1.329E+10 6.165E+11 2.156E-02 1.719E-04
