j g(j) i g(i) wl A A^a A/A^a f
21 6.000 1 4.000 9.71800 6.197E+12 3.251E+14 1.906E-02 1.316E-01
22 4.000 1 4.000 9.71616 6.210E+12 3.239E+14 1.917E-02 8.788E-02
23 2.000 1 4.000 9.71505 6.215E+12 3.276E+14 1.897E-02 4.398E-02
34 6.000 1 4.000 8.87784 1.431E+12 3.233E+13 4.425E-02 2.535E-02
35 4.000 1 4.000 8.87777 1.431E+12 3.222E+13 4.440E-02 1.690E-02
75 6.000 1 4.000 8.80615 6.902E+11 8.108E+12 8.512E-02 1.204E-02
171 6.000 1 4.000 8.68107 6.555E+11 1.706E+13 3.841E-02 1.111E-02
233 6.000 1 4.000 8.60105 6.603E+11 2.224E+12 2.969E-01 1.099E-02
36 2.000 1 4.000 8.87772 1.431E+12 3.243E+13 4.413E-02 8.455E-03
73 4.000 1 4.000 8.80636 6.913E+11 7.898E+12 8.753E-02 8.038E-03
172 4.000 1 4.000 8.68105 6.560E+11 1.714E+13 3.828E-02 7.410E-03
232 4.000 1 4.000 8.60105 6.615E+11 1.926E+12 3.435E-01 7.335E-03
74 2.000 1 4.000 8.80631 7.005E+11 7.605E+12 9.211E-02 4.073E-03
78 6.000 1 4.000 8.79783 2.263E+11 1.543E+13 1.467E-02 3.940E-03
372 6.000 1 4.000 8.56035 2.338E+11 5.475E+12 4.271E-02 3.855E-03
173 2.000 1 4.000 8.68103 6.565E+11 1.642E+13 3.999E-02 3.708E-03
234 2.000 1 4.000 8.60101 6.605E+11 1.704E+12 3.876E-01 3.663E-03
77 4.000 1 4.000 8.79854 2.237E+11 1.428E+13 1.567E-02 2.595E-03
373 4.000 1 4.000 8.56033 2.335E+11 5.194E+12 4.496E-02 2.565E-03
634 6.000 1 4.000 8.51848 1.350E+11 1.683E+12 8.025E-02 2.204E-03
543 6.000 1 4.000 8.53175 1.156E+11 5.961E+12 1.940E-02 1.893E-03
477 6.000 1 4.000 8.53742 1.027E+11 1.754E+12 5.857E-02 1.684E-03
633 4.000 1 4.000 8.51858 1.388E+11 1.646E+12 8.433E-02 1.510E-03
916 6.000 1 4.000 8.47677 8.200E+10 9.343E+11 8.777E-02 1.325E-03
374 2.000 1 4.000 8.56032 2.335E+11 4.880E+12 4.784E-02 1.282E-03
76 2.000 1 4.000 8.79900 2.186E+11 1.360E+13 1.608E-02 1.269E-03
542 4.000 1 4.000 8.53187 1.137E+11 5.362E+12 2.120E-02 1.241E-03
478 4.000 1 4.000 8.53740 1.025E+11 1.830E+12 5.598E-02 1.120E-03
915 4.000 1 4.000 8.47682 8.315E+10 8.781E+11 9.469E-02 8.960E-04
1213 6.000 1 4.000 8.45255 5.170E+10 2.588E+12 1.998E-02 8.308E-04
632 2.000 1 4.000 8.51865 1.429E+11 1.586E+12 9.005E-02 7.770E-04
541 2.000 1 4.000 8.53192 1.106E+11 5.074E+12 2.179E-02 6.033E-04
479 2.000 1 4.000 8.53738 1.029E+11 2.008E+12 5.122E-02 5.618E-04
1212 4.000 1 4.000 8.45258 5.225E+10 1.772E+12 2.949E-02 5.598E-04
904 2.000 1 4.000 8.47686 8.440E+10 8.791E+11 9.601E-02 4.545E-04
1211 2.000 1 4.000 8.45260 5.305E+10 2.756E+12 1.925E-02 2.840E-04
720 6.000 1 4.000 8.49214 1.079E+10 1.895E+12 5.692E-03 1.750E-04
334 6.000 1 4.000 8.58284 9.392E+09 6.751E+12 1.391E-03 1.556E-04
719 4.000 1 4.000 8.49223 1.048E+10 1.705E+12 6.143E-03 1.133E-04
672 6.000 1 4.000 8.50278 6.720E+09 3.163E+12 2.124E-03 1.093E-04
948 6.000 1 4.000 8.46840 3.603E+09 1.536E+13 2.347E-04 5.813E-05
335 4.000 1 4.000 8.58262 5.043E+09 7.055E+12 7.147E-04 5.568E-05
718 2.000 1 4.000 8.49225 9.890E+09 1.590E+12 6.221E-03 5.348E-05
1125 6.000 1 4.000 8.46175 3.173E+09 1.044E+13 3.040E-04 5.110E-05
679 4.000 1 4.000 8.50273 4.065E+09 3.313E+12 1.227E-03 4.405E-05
86 6.000 1 4.000 8.78766 2.237E+09 2.061E+13 1.085E-04 3.885E-05
947 4.000 1 4.000 8.46849 3.438E+09 9.280E+12 3.704E-04 3.698E-05
92 6.000 1 4.000 8.77731 1.895E+09 1.831E+13 1.035E-04 3.285E-05
235 2.000 1 4.000 8.60016 5.900E+09 8.926E+12 6.610E-04 3.273E-05
25 6.000 1 4.000 9.65067 1.231E+09 4.003E+14 3.074E-06 2.578E-05
336 2.000 1 4.000 8.58247 4.302E+09 7.329E+12 5.870E-04 2.376E-05
1320 6.000 1 4.000 8.43787 1.395E+09 5.815E+12 2.400E-04 2.234E-05
