j g(j) i g(i) wl A tot(A+A^a) A/tot f
25 3.000 1 1.000 9.49722 4.333E+11 6.350E+11 6.824E-01 1.758E-02
29 3.000 1 1.000 9.47043 8.300E+10 2.865E+11 2.897E-01 3.348E-03
33 3.000 1 1.000 9.46435 6.437E+10 2.658E+11 2.422E-01 2.593E-03
23 3.000 1 1.000 9.49899 2.431E+08 2.825E+11 8.608E-04 9.867E-06
27 3.000 1 1.000 9.47075 1.388E+07 2.156E+11 6.437E-05 5.599E-07
31 3.000 1 1.000 9.46457 6.250E+05 2.119E+11 2.949E-06 2.518E-08
24 5.000 1 1.000 9.49892 2.200E+05 2.817E+11 7.809E-07 1.489E-08
28 5.000 1 1.000 9.47075 3.882E+04 2.153E+11 1.803E-07 2.610E-09
32 5.000 1 1.000 9.46457 2.582E+04 2.119E+11 1.219E-07 1.734E-09
