j gj i gi wl A A+Aa bla f
731 0 0 1 17.2277 1.454E+09 1.110E+14 0 6.472E-05
776 0 0 1 17.1895 1.417E+09 1.048E+14 0 6.277E-05
947 0 0 1 16.9636 1.861E+09 1.986E+14 0 6.243E-05
792 0 0 1 17.1731 1.116E+09 1.672E+14 0 6.030E-05
799 0 0 1 17.1650 1.749E+09 1.546E+14 0 6.007E-05
826 0 0 1 17.1364 1.256E+09 1.698E+14 0 5.529E-05
938 0 0 1 16.9856 1.539E+09 1.186E+14 0 5.179E-05
677 0 0 1 17.2875 1.470E+09 7.670E+13 0 5.122E-05
908 0 0 1 17.0403 1.131E+09 1.585E+14 0 4.924E-05
733 0 0 1 17.2253 1.399E+09 1.337E+14 0 4.841E-05
888 0 0 1 17.0745 1.389E+09 1.800E+14 0 4.723E-05
770 0 0 1 17.1956 7.808E+08 1.492E+14 0 4.231E-05
651 0 0 1 17.3254 1.131E+09 9.933E+13 0 3.960E-05
715 0 0 1 17.2384 8.869E+08 9.307E+13 0 3.951E-05
764 0 0 1 17.2024 8.723E+08 1.352E+14 0 3.870E-05
681 0 0 1 17.2816 8.579E+08 6.456E+13 0 3.841E-05
867 0 0 1 17.1005 1.090E+09 1.305E+14 0 3.716E-05
965 0 0 1 16.9335 1.107E+09 1.329E+14 0 3.701E-05
782 0 0 1 17.1855 1.074E+09 2.124E+14 0 3.699E-05
960 0 0 1 16.9410 6.894E+08 1.020E+14 0 3.626E-05
703 0 0 1 17.2524 1.033E+09 8.414E+13 0 3.587E-05
948 0 0 1 16.9583 8.263E+08 1.393E+14 0 3.563E-05
788 0 0 1 17.1782 8.042E+08 1.684E+14 0 3.558E-05
862 0 0 1 17.1044 1.024E+09 1.661E+14 0 3.492E-05
665 0 0 1 17.3040 9.813E+08 7.009E+13 0 3.427E-05
652 0 0 1 17.3238 5.793E+08 3.064E+13 0 3.186E-05
851 0 0 1 17.1132 9.189E+08 1.913E+14 0 3.138E-05
710 0 0 1 17.2441 8.570E+08 1.150E+14 0 2.972E-05
756 0 0 1 17.2083 5.342E+08 1.236E+14 0 2.899E-05
818 0 0 1 17.1458 8.396E+08 1.502E+14 0 2.878E-05
796 0 0 1 17.1681 6.334E+08 1.866E+14 0 2.799E-05
686 0 0 1 17.2741 7.901E+08 8.113E+13 0 2.749E-05
778 0 0 1 17.1872 6.097E+08 1.647E+14 0 2.700E-05
794 0 0 1 17.1690 7.673E+08 2.024E+14 0 2.638E-05
740 0 0 1 17.2186 4.765E+08 1.079E+14 0 2.589E-05
695 0 0 1 17.2635 5.694E+08 8.110E+13 0 2.544E-05
701 0 0 1 17.2548 5.614E+08 8.648E+13 0 2.506E-05
929 0 0 1 17.0022 7.210E+08 1.146E+14 0 2.430E-05
735 0 0 1 17.2207 6.583E+08 1.115E+14 0 2.277E-05
746 0 0 1 17.2142 4.473E+08 1.175E+14 0 1.987E-05
949 0 0 1 16.9565 3.647E+08 9.213E+13 0 1.921E-05
765 0 0 1 17.2019 5.351E+08 1.387E+14 0 1.847E-05
969 0 0 1 16.9273 3.264E+08 1.014E+14 0 1.713E-05
941 0 0 1 16.9746 5.070E+08 1.461E+14 0 1.703E-05
832 0 0 1 17.1313 4.914E+08 1.739E+14 0 1.682E-05
972 0 0 1 16.9256 4.666E+08 1.527E+14 0 1.559E-05
793 0 0 1 17.1723 4.510E+08 1.702E+14 0 1.551E-05
748 0 0 1 17.2137 4.474E+08 1.245E+14 0 1.546E-05
772 0 0 1 17.1929 4.344E+08 1.357E+14 0 1.498E-05
743 0 0 1 17.2163 2.570E+08 1.022E+14 0 1.396E-05
687 0 0 1 17.2735 2.510E+08 5.666E+13 0 1.372E-05
893 0 0 1 17.0688 3.132E+08 1.556E+14 0 1.368E-05
966 0 0 1 16.9329 3.939E+08 1.066E+14 0 1.317E-05
750 0 0 1 17.2111 3.759E+08 1.363E+14 0 1.299E-05
849 0 0 1 17.1153 2.401E+08 7.324E+13 0 1.289E-05
768 0 0 1 17.1973 2.590E+08 1.319E+14 0 1.149E-05
643 0 0 1 17.3422 3.093E+08 4.528E+13 0 1.085E-05
955 0 0 1 16.9464 2.880E+08 9.928E+13 0 9.646E-06
769 0 0 1 17.1965 2.347E+08 1.719E+14 0 8.093E-06
713 0 0 1 17.2414 1.390E+08 8.231E+13 0 7.572E-06
857 0 0 1 17.1083 2.156E+08 1.669E+14 0 7.357E-06
886 0 0 1 17.0783 2.034E+08 1.641E+14 0 6.919E-06
974 0 0 1 16.9238 1.913E+08 3.403E+14 0 6.390E-06
880 0 0 1 17.0844 1.175E+08 1.020E+14 0 6.281E-06
811 0 0 1 17.1550 1.032E+08 2.371E+14 0 5.564E-06
1013 0 0 1 16.8624 1.020E+08 1.741E+14 0 5.314E-06
873 0 0 1 17.0944 1.507E+08 1.590E+14 0 5.137E-06
956 0 0 1 16.9453 1.181E+08 1.011E+14 0 5.087E-06
758 0 0 1 17.2073 1.269E+08 1.756E+14 0 4.381E-06
653 0 0 1 17.3204 1.147E+08 1.137E+14 0 4.012E-06
693 0 0 1 17.2655 7.286E+07 5.794E+13 0 3.980E-06
896 0 0 1 17.0660 6.527E+07 1.487E+14 0 3.483E-06
791 0 0 1 17.1740 7.571E+07 1.589E+14 0 3.348E-06
977 0 0 1 16.9163 7.723E+07 1.045E+14 0 3.313E-06
1002 0 0 1 16.8820 7.594E+07 1.679E+14 0 3.246E-06
732 0 0 1 17.2254 5.813E+07 1.001E+14 0 3.160E-06
918 0 0 1 17.0253 9.277E+07 1.295E+14 0 3.136E-06
730 0 0 1 17.2286 7.043E+07 9.864E+13 0 3.134E-06
722 0 0 1 17.2326 5.631E+07 8.190E+13 0 3.064E-06
736 0 0 1 17.2203 6.673E+07 9.432E+13 0 2.967E-06
970 0 0 1 16.9270 6.241E+07 1.152E+14 0 2.681E-06
700 0 0 1 17.2549 4.834E+07 6.143E+13 0 2.637E-06
922 0 0 1 17.0172 7.417E+07 2.082E+14 0 2.504E-06
705 0 0 1 17.2475 4.503E+07 8.108E+13 0 2.454E-06
962 0 0 1 16.9386 4.374E+07 7.570E+13 0 2.299E-06
1043 0 0 1 16.8008 5.024E+07 1.477E+14 0 2.127E-06
637 0 0 1 17.3521 4.351E+07 2.958E+13 0 1.964E-06
1004 0 0 1 16.8813 3.582E+07 1.878E+14 0 1.870E-06
727 0 0 1 17.2298 5.083E+07 8.656E+13 0 1.760E-06
783 0 0 1 17.1853 4.839E+07 1.966E+14 0 1.667E-06
633 0 0 1 17.3643 2.949E+07 1.897E+13 0 1.629E-06
692 0 0 1 17.2662 3.560E+07 9.306E+13 0 1.591E-06
968 0 0 1 16.9299 3.554E+07 9.880E+13 0 1.528E-06
984 0 0 1 16.9091 4.410E+07 1.236E+14 0 1.470E-06
