j g(j) i g(i) wl A A+A^a A/(A+A^a) f
53 6.000 9 2.000 23.6721 8.565E+06 5.107E+11 1.677E-05 2.159E-06
58 6.000 9 2.000 23.2522 7.833E+06 4.040E+11 1.939E-05 1.905E-06
47 4.000 9 2.000 24.2365 1.021E+07 6.659E+11 1.533E-05 1.799E-06
62 4.000 9 2.000 22.9304 9.663E+06 3.308E+11 2.921E-05 1.524E-06
52 4.000 9 2.000 23.6736 8.345E+06 5.156E+11 1.619E-05 1.403E-06
57 4.000 9 2.000 23.2533 7.553E+06 4.081E+11 1.851E-05 1.225E-06
19 2.000 9 2.000 37.7607 1.977E+02 1.069E+12 1.849E-10 4.225E-11
24 2.000 9 2.000 31.1876 1.944E+02 7.299E+11 2.663E-10 2.835E-11
29 2.000 9 2.000 28.0294 1.687E+02 5.181E+11 3.256E-10 1.987E-11
34 2.000 9 2.000 26.2136 1.375E+02 3.804E+11 3.614E-10 1.417E-11
39 2.000 9 2.000 25.0542 1.109E+02 2.878E+11 3.853E-10 1.044E-11
44 2.000 9 2.000 24.2614 8.900E+01 2.235E+11 3.982E-10 7.855E-12
49 2.000 9 2.000 23.6919 7.105E+01 1.780E+11 3.992E-10 5.980E-12
54 2.000 9 2.000 23.2672 5.660E+01 1.452E+11 3.899E-10 4.595E-12
59 2.000 9 2.000 22.9411 4.838E+01 1.231E+11 3.929E-10 3.818E-12
64 2.000 9 2.000 22.6848 3.963E+01 1.145E+11 3.461E-10 3.057E-12
22 4.000 10 2.000 38.0889 3.268E+11 3.979E+12 8.213E-02 1.422E-01
27 4.000 10 2.000 31.5076 2.048E+11 2.527E+12 8.105E-02 6.095E-02
32 4.000 10 2.000 28.3312 1.364E+11 1.704E+12 8.003E-02 3.282E-02
37 4.000 10 2.000 26.5001 9.540E+10 1.204E+12 7.926E-02 2.009E-02
19 2.000 10 2.000 38.4722 6.490E+10 1.069E+12 6.071E-02 1.440E-02
42 4.000 10 2.000 25.3293 6.948E+10 8.819E+11 7.878E-02 1.337E-02
47 4.000 10 2.000 24.5277 5.228E+10 6.659E+11 7.851E-02 9.430E-03
52 4.000 10 2.000 23.9513 4.048E+10 5.156E+11 7.850E-02 6.960E-03
24 2.000 10 2.000 31.6714 3.956E+10 7.299E+11 5.420E-02 5.950E-03
