j g(j) i g(i) wl A A^a A/A^a f
6 3.000 1 1.000 22.3336 2.412E+12 2.588E+12 9.318E-01 5.410E-01
12 3.000 1 1.000 19.9242 6.403E+11 6.586E+11 9.723E-01 1.143E-01
22 3.000 1 1.000 19.3251 2.852E+11 2.927E+11 9.742E-01 4.790E-02
36 3.000 1 1.000 19.0715 1.579E+11 1.623E+11 9.729E-01 2.583E-02
54 3.000 1 1.000 18.9396 1.021E+11 1.052E+11 9.706E-01 1.647E-02
76 3.000 1 1.000 18.8619 8.060E+10 8.633E+10 9.336E-01 1.290E-02
4 3.000 1 1.000 22.5399 1.383E+08 5.149E+13 2.685E-06 3.160E-05
16 5.000 1 1.000 19.8314 3.216E+07 8.738E+11 3.680E-05 9.480E-06
10 3.000 1 1.000 19.9629 3.099E+07 1.200E+13 2.582E-06 5.555E-06
26 5.000 1 1.000 19.2946 1.823E+07 4.490E+11 4.060E-05 5.088E-06
40 5.000 1 1.000 19.0579 1.050E+07 2.470E+11 4.252E-05 2.860E-06
20 3.000 1 1.000 19.3405 1.143E+07 4.787E+12 2.387E-06 1.923E-06
58 5.000 1 1.000 18.9326 6.510E+06 1.499E+11 4.344E-05 1.749E-06
80 5.000 1 1.000 18.8582 4.346E+06 1.045E+11 4.160E-05 1.159E-06
34 3.000 1 1.000 19.0795 5.237E+06 2.256E+12 2.321E-06 8.576E-07
52 3.000 1 1.000 18.9445 2.700E+06 1.270E+12 2.125E-06 4.359E-07
74 3.000 1 1.000 18.8654 1.412E+06 8.438E+11 1.674E-06 2.261E-07
5 5.000 1 1.000 22.5374 2.142E+05 5.091E+13 4.207E-09 8.156E-08
14 5.000 1 1.000 19.8321 2.086E+05 3.108E+11 6.712E-07 6.151E-08
24 5.000 1 1.000 19.2950 7.426E+04 1.610E+11 4.613E-07 2.072E-08
11 5.000 1 1.000 19.9624 6.476E+04 1.183E+13 5.474E-09 1.935E-08
38 5.000 1 1.000 19.0581 3.544E+04 8.980E+10 3.947E-07 9.652E-09
21 5.000 1 1.000 19.3404 2.852E+04 4.869E+12 5.857E-09 7.999E-09
56 5.000 1 1.000 18.9327 1.982E+04 5.533E+10 3.583E-07 5.327E-09
35 5.000 1 1.000 19.0794 1.519E+04 2.522E+12 6.021E-09 4.144E-09
78 5.000 1 1.000 18.8583 1.230E+04 3.960E+10 3.107E-07 3.280E-09
53 5.000 1 1.000 18.9444 9.214E+03 1.374E+12 6.704E-09 2.479E-09
75 5.000 1 1.000 18.8654 6.320E+03 8.856E+11 7.136E-09 1.686E-09
7 3.000 1 1.000 20.0949 2.305E+02 1.464E+13 1.575E-11 4.187E-11
17 3.000 1 1.000 19.3877 9.580E+01 5.519E+12 1.736E-11 1.620E-11
31 3.000 1 1.000 19.1019 4.880E+01 2.665E+12 1.831E-11 8.010E-12
49 3.000 1 1.000 18.9570 2.822E+01 1.487E+12 1.897E-11 4.561E-12
71 3.000 1 1.000 18.8732 1.792E+01 9.164E+11 1.955E-11 2.871E-12
13 3.000 1 1.000 19.8322 9.463E-01 3.072E+11 3.080E-12 1.674E-13
23 3.000 1 1.000 19.2950 5.633E-01 1.599E+11 3.523E-12 9.436E-14
37 3.000 1 1.000 19.0581 3.316E-01 8.932E+10 3.713E-12 5.418E-14
55 3.000 1 1.000 18.9327 2.076E-01 5.436E+10 3.819E-12 3.347E-14
77 3.000 1 1.000 18.8583 1.391E-01 4.014E+10 3.466E-12 2.225E-14
27 5.000 1 1.000 19.2755 2.178E-06 9.823E+09 2.217E-16 6.066E-19
41 5.000 1 1.000 19.0485 1.931E-06 5.410E+09 3.569E-16 5.252E-19
59 5.000 1 1.000 18.9273 1.430E-06 3.296E+09 4.339E-16 3.841E-19
81 5.000 1 1.000 18.8550 1.039E-06 2.213E+09 4.695E-16 2.768E-19
