94 0 0 0 0 52019 
103 0 0 0 0 52019 
230 0 0 0 0 52019 
110 0 0 0 0 52019 
32 0 0 0 0 52019 
95 0 0 0 0 52019 
68 0 0 0 0 52019 
29 0 0 0 0 52019 
3 0 0 0 0 52019 
46 0 0 0 0 52019 
120 0 0 0 0 52019 
162 0 0 0 0 52019 
55 0 0 0 0 52019 
69 0 0 0 0 52019 
18 0 0 0 0 52019 
31 0 0 0 0 52019 
310 0 0 0 0 52019
588 0 0 0 0 52019 
854 0 0 0 0 52019 
1228 0 0 0 0 52019
479 0 0 0 0 52019
951 0 0 0 0 52019
258 0 0 0 0 52019
67 0 0 0 0 52019
43 1.405 638.7 1653 -3.045 52019 
32 1.336 118.8 1148 -3.016 52019 
934 0 0 0 0 14903
1084 0 0 0 0 14903
452 0 0 0 0 14903
283 0 0 0 0 14903
42 0 0 0 0 14903
109 0 0 0 0 14903
15037 16.77 7.369 266.4 -3.084 14903
5032 14.227 1.008 112.4 -3.011 14903
312 0 0 0 0 54672
4971 0 0 0 0 54672
6976 0 0 0 0 54672
12060 0 0 0 0 54672
7459 0 0 0 0 54672
5137 0 0 0 0 54672
3311 0 0 0 0 54672
595 0 0 0 0 54672
9 0 0 0 0 22640
359 0 0 0 0 22640
935 0 0 0 0 22640
1082 0 0 0 0 22640
452 0 0 0 0 22640
282 0 0 0 0 22640
42 0 0 0 0 22640
109 0 0 0 0 22640
43 7.042 28 466.8 -3.046 22640
32 6.317 4.604 241.7 -2.999 22640
39 0 0 0 0 18797 
359 0 0 0 0 18797 
3520 0 0 0 0 18797 
1084 0 0 0 0 18797 
453 0 0 0 0 18797 
283 0 0 0 0 18797 
42 0 0 0 0 18797 
109 0 0 0 0 18797 
43 10.379 15.2 359.8 -3.061 18797 
32 9.101 2.271 169.8 -3.001 18797 
8 0 0 0 0 26161
359 0 0 0 0 26161 
935 0 0 0 0 26161 
1083 0 0 0 0 26161 
454 0 0 0 0 26161 
283 0 0 0 0 26161 
42 0 0 0 0 26161 
109 0 0 0 0 26161 
43 5.089 48.46 592.8 -3.037 26161 
32 4.638 8.217 323.6 -2.995 26161 
43 5.947 36.84 524.8 -3.04 25133
32 5.381 6.33 283.1 -2.999 25133
43 3.01 127 881.9 -3.032 37211
32 2.801 24.27 544.6 -3.004 37211
43 31.719 2.853 181.3 -3.116 11187
32 25.302 0.3663 67.35 -3.03 11187
43 2.418 194.4 1049 -3.032 37332
32 2.267 38.93 679.6 -3.009 37332
43 22.508 4.751 222.5 -3.099 13047
32 18.586 0.627 88.39 -3.019 13047
43 8.47 20.85 411.7 -3.052 21415 
32 7.52 3.251 203.4 -2.998 21415 
634 0 0 0 0 29868 
3524 0 0 0 0 29868 
5338 0 0 0 0 29868 
454 0 0 0 0 29868 
282 0 0 0 0 29868 
78 0 0 0 0 29868 
135 0 0 0 0 29868 
43 3.847 79.52 728.7 -3.032 29868 
32 3.548 14.43 425.3 -2.998 29868 
