j g(j) i g(i) wl A A^a A/A^a f
137 4.000 1 4.000 22.0049 5.503E-02 1.057E+13 5.205E-15 3.995E-15
1252 2.000 1 4.000 21.6004 1.134E-01 1.778E+12 6.378E-14 3.965E-15
201 6.000 1 4.000 21.9660 3.512E-02 3.908E+08 8.988E-11 3.811E-15
107 4.000 1 4.000 22.0092 5.198E-02 9.658E+08 5.382E-11 3.773E-15
465 8.000 1 4.000 21.7581 2.614E-02 1.017E+10 2.571E-12 3.710E-15
567 6.000 1 4.000 21.7376 3.430E-02 1.722E+12 1.992E-14 3.645E-15
296 6.000 1 4.000 21.8788 3.345E-02 5.149E+12 6.496E-15 3.603E-15
1077 4.000 1 4.000 21.6400 5.130E-02 8.355E+11 6.140E-14 3.600E-15
585 8.000 1 4.000 21.7320 2.457E-02 1.029E+11 2.388E-13 3.480E-15
1110 8.000 1 4.000 21.6280 2.457E-02 3.664E+12 6.707E-15 3.448E-15
341 8.000 1 4.000 21.8066 2.379E-02 1.682E+10 1.415E-12 3.392E-15
694 2.000 1 4.000 21.7282 9.175E-02 2.002E+11 4.583E-13 3.248E-15
1357 6.000 1 4.000 21.5857 3.070E-02 5.246E+09 5.853E-12 3.218E-15
71 2.000 1 4.000 22.0546 8.815E-02 3.605E+05 2.445E-07 3.213E-15
1201 6.000 1 4.000 21.6123 3.053E-02 6.133E+12 4.978E-15 3.208E-15
1021 4.000 1 4.000 21.6594 4.510E-02 3.469E+12 1.300E-14 3.173E-15
162 2.000 1 4.000 21.9807 7.995E-02 2.264E+05 3.531E-07 2.895E-15
1253 4.000 1 4.000 21.6004 3.928E-02 1.501E+12 2.617E-14 2.748E-15
1147 4.000 1 4.000 21.6150 3.843E-02 2.410E+11 1.594E-13 2.693E-15
536 6.000 1 4.000 21.7559 2.470E-02 1.551E+08 1.593E-10 2.630E-15
508 8.000 1 4.000 21.7560 1.734E-02 1.454E+07 1.192E-09 2.460E-15
623 8.000 1 4.000 21.7306 1.723E-02 1.501E+12 1.148E-14 2.439E-15
156 4.000 1 4.000 21.9822 3.265E-02 5.976E+08 5.464E-11 2.366E-15
1471 6.000 1 4.000 21.4964 2.257E-02 4.335E+11 5.206E-14 2.345E-15
1233 8.000 1 4.000 21.6078 1.494E-02 2.194E+12 6.808E-15 2.091E-15
1529 6.000 1 4.000 21.4567 2.008E-02 1.717E+11 1.170E-13 2.080E-15
278 2.000 1 4.000 21.9074 5.661E-02 1.997E+12 2.834E-14 2.037E-15
1207 2.000 1 4.000 21.6111 5.665E-02 3.344E+12 1.694E-14 1.984E-15
148 6.000 1 4.000 21.9913 1.815E-02 5.723E+12 3.171E-15 1.974E-15
1345 6.000 1 4.000 21.5865 1.858E-02 2.876E+12 6.463E-15 1.948E-15
1404 6.000 1 4.000 21.5707 1.757E-02 3.666E+09 4.792E-12 1.839E-15
263 6.000 1 4.000 21.9124 1.633E-02 3.962E+10 4.121E-13 1.763E-15
1010 8.000 1 4.000 21.6609 1.185E-02 4.262E+12 2.781E-15 1.668E-15
284 8.000 1 4.000 21.9061 1.154E-02 6.621E+12 1.742E-15 1.660E-15
603 6.000 1 4.000 21.7307 1.526E-02 5.881E+11 2.594E-14 1.620E-15
202 4.000 1 4.000 21.9660 2.230E-02 3.913E+08 5.698E-11 1.613E-15
455 6.000 1 4.000 21.7583 1.511E-02 8.979E+08 1.683E-11 1.609E-15
41 2.000 1 4.000 22.1678 4.351E-02 2.681E+09 1.623E-11 1.603E-15
545 6.000 1 4.000 21.7518 1.459E-02 6.019E+11 2.423E-14 1.552E-15
1206 4.000 1 4.000 21.6112 2.195E-02 3.818E+12 5.748E-15 1.537E-15
568 4.000 1 4.000 21.7376 2.145E-02 1.729E+12 1.241E-14 1.520E-15
597 2.000 1 4.000 21.7311 4.130E-02 3.096E+11 1.334E-13 1.462E-15
1527 4.000 1 4.000 21.4567 2.111E-02 3.112E+11 6.783E-14 1.457E-15
295 4.000 1 4.000 21.8789 2.011E-02 3.681E+12 5.462E-15 1.443E-15
337 8.000 1 4.000 21.8069 1.012E-02 3.036E+10 3.333E-13 1.443E-15
587 8.000 1 4.000 21.7319 1.013E-02 6.379E+09 1.587E-12 1.434E-15
1346 4.000 1 4.000 21.5865 2.034E-02 2.388E+12 8.519E-15 1.421E-15
509 6.000 1 4.000 21.7560 1.228E-02 2.237E+10 5.487E-13 1.307E-15
589 2.000 1 4.000 21.7318 3.673E-02 4.487E+11 8.186E-14 1.300E-15
782 8.000 1 4.000 21.7153 8.743E-03 2.726E+10 3.207E-13 1.236E-15
1343 8.000 1 4.000 21.5867 8.488E-03 2.021E+12 4.200E-15 1.186E-15
1394 6.000 1 4.000 21.5712 1.121E-02 1.855E+12 6.043E-15 1.173E-15
1349 2.000 1 4.000 21.5863 3.334E-02 1.643E+12 2.029E-14 1.165E-15
66 2.000 1 4.000 22.0593 3.067E-02 1.644E+09 1.866E-11 1.119E-15
1076 2.000 1 4.000 21.6400 3.156E-02 8.558E+11 3.688E-14 1.108E-15
478 4.000 1 4.000 21.7561 1.553E-02 2.734E+11 5.682E-14 1.102E-15
620 8.000 1 4.000 21.7307 7.456E-03 9.822E+09 7.592E-13 1.056E-15
649 8.000 1 4.000 21.7306 6.844E-03 1.560E+07 4.386E-10 9.690E-16
1395 4.000 1 4.000 21.5712 1.305E-02 1.558E+12 8.376E-15 9.105E-16
149 4.000 1 4.000 21.9913 1.254E-02 5.759E+12 2.177E-15 9.090E-16
281 4.000 1 4.000 21.9066 1.241E-02 1.057E+12 1.175E-14 8.930E-16
976 6.000 1 4.000 21.6712 8.375E-03 4.330E+08 1.934E-11 8.845E-16
767 6.000 1 4.000 21.7154 7.999E-03 2.129E+11 3.758E-14 8.483E-16
1397 2.000 1 4.000 21.5711 2.271E-02 7.989E+11 2.843E-14 7.922E-16
1205 2.000 1 4.000 21.6113 2.219E-02 3.440E+12 6.451E-15 7.769E-16
549 6.000 1 4.000 21.7497 7.295E-03 1.308E+12 5.578E-15 7.760E-16
454 4.000 1 4.000 21.7583 1.054E-02 1.293E+09 8.149E-12 7.480E-16
584 6.000 1 4.000 21.7320 6.320E-03 3.735E+10 1.692E-13 6.713E-16
108 2.000 1 4.000 22.0092 1.759E-02 9.659E+08 1.821E-11 6.386E-16
600 4.000 1 4.000 21.7309 8.919E-03 3.006E+11 2.967E-14 6.317E-16
652 6.000 1 4.000 21.7306 5.765E-03 1.038E+07 5.554E-10 6.123E-16
99 4.000 1 4.000 22.0325 8.233E-03 4.695E+12 1.753E-15 5.992E-16
1348 4.000 1 4.000 21.5863 8.200E-03 6.713E+11 1.222E-14 5.728E-16
856 8.000 1 4.000 21.7152 4.018E-03 1.813E+07 2.215E-10 5.680E-16
689 4.000 1 4.000 21.7305 7.948E-03 4.793E+07 1.658E-10 5.625E-16
354 4.000 1 4.000 21.8038 7.831E-03 6.237E+11 1.255E-14 5.582E-16
476 6.000 1 4.000 21.7564 5.050E-03 2.262E+11 2.233E-14 5.376E-16
1344 6.000 1 4.000 21.5867 4.323E-03 3.840E+12 1.126E-15 4.530E-16
967 2.000 1 4.000 21.6748 1.268E-02 3.557E+12 3.565E-15 4.464E-16
691 2.000 1 4.000 21.7305 1.247E-02 7.378E+07 1.689E-10 4.413E-16
1396 4.000 1 4.000 21.5711 6.300E-03 4.692E+11 1.343E-14 4.395E-16
1133 4.000 1 4.000 21.6158 6.273E-03 2.456E+12 2.554E-15 4.393E-16
336 6.000 1 4.000 21.8069 4.002E-03 2.550E+10 1.569E-13 4.278E-16
430 6.000 1 4.000 21.7700 3.753E-03 3.277E+12 1.145E-15 4.002E-16
157 2.000 1 4.000 21.9822 1.097E-02 5.977E+08 1.835E-11 3.972E-16
511 6.000 1 4.000 21.7560 3.690E-03 5.336E+10 6.916E-14 3.928E-16
1258 6.000 1 4.000 21.6000 3.684E-03 8.403E+10 4.385E-14 3.865E-16
535 4.000 1 4.000 21.7559 5.356E-03 3.381E+11 1.584E-14 3.801E-16
477 4.000 1 4.000 21.7564 5.058E-03 1.580E+11 3.202E-14 3.590E-16
651 4.000 1 4.000 21.7306 4.810E-03 2.184E+07 2.203E-10 3.405E-16
510 4.000 1 4.000 21.7560 4.751E-03 3.514E+10 1.352E-13 3.371E-16
650 6.000 1 4.000 21.7306 3.127E-03 3.416E+09 9.154E-13 3.320E-16
84 8.000 1 4.000 22.0502 2.185E-03 3.242E+12 6.740E-16 3.185E-16
968 4.000 1 4.000 21.6747 4.518E-03 2.600E+12 1.737E-15 3.183E-16
548 4.000 1 4.000 21.7498 4.235E-03 8.618E+11 4.914E-15 3.003E-16
98 2.000 1 4.000 22.0326 8.150E-03 4.735E+12 1.721E-15 2.967E-16
